Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
"GVMC Walkers Park, Thulasi Nagar",17.8007395,83.34671139999999,4.2,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,641
BHEL Park,17.7023118,83.20279479999999,4.1,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,133
Prashanthi Park,17.7468536,83.2666342,4,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,212
Zen Park,17.7246894,83.3150048,4.4,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,65
Vikas Nagar Park,17.6730077,83.21420429999999,3.9,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,408
Sri Devi Park,17.7452786,83.26196039999999,3.9,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,339
Yendada Walkers Park,17.7814891,83.358766,4,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,2745
Ajantha park,17.7551585,83.215302,4,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,508
Dr Ambedkar Walker's Park,17.6940564,83.1768395,4,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,294
Saraswathi Park,17.7140459,83.3002987,4,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,4479
Park,17.7978384,83.2137901,4.3,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,82
L.I.G PARK,17.671731,83.19935699999999,4.6,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,16
Rajiv Park,17.7467758,83.3360276,3.8,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,334
East Park,17.7493172,83.2534443,4.2,"park, point_of_interest, establishment",parks,Andhra Pradesh,Spring,Anakapalli,1987
