Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Hawa Camp (Lohit View),27.9213665,96.3313012,4.6,"park, tourist_attraction, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,79
Lohit,27.999469,96.20083369999999,4,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,1
Alisha's Garden,27.905479,96.28012939999999,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,2
Beyond Brahmaputra Campsite Parshuram,27.8864375,96.3490625,4.7,"campground, park, lodging, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,45
Shree Parshurama Kunda Temple,27.8760781,96.3595711,4.5,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,1232
Mithun bandh reserved area,28.0787576,96.5311756,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,0
Braptong village,28.1396441,96.6250771,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,0
Ming Farm Changliang,27.919358,96.2031894,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,0
Pul,27.96856,96.1918725,0,"campground, park, lodging, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,0
Busines man,28.0784783,96.5430059,0,"point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Anjaw,0
Tezu Islet,27.9529217,96.1933789,5,"tourist_attraction, point_of_interest, establishment",waterfalls,Arunachal Pradesh,Monsoon,Anjaw,1
Kuh-maroh water fall,28.2815192,96.57410639999999,4,"tourist_attraction, point_of_interest, establishment",waterfalls,Arunachal Pradesh,Monsoon,Anjaw,6
Shree Parshurama Kunda Temple,27.8760781,96.3595711,4.5,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",waterfalls,Arunachal Pradesh,Monsoon,Anjaw,1232
Lohit River,28.0286953,96.6212323,4.4,"natural_feature, establishment",waterfalls,Arunachal Pradesh,Monsoon,Anjaw,143
Mompani,28.039893,96.43970660000001,No rating,"locality, political",waterfalls,Arunachal Pradesh,Monsoon,Anjaw,0
Hindu Temple,28.0108136,96.2102235,4.2,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,11
Laxmi Mandir,27.9067565,96.2816658,4.1,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,7
Shree Parshurama Kunda Temple,27.8760781,96.3595711,4.5,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,1232
Unit Temple,28.0125144,96.2120518,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,14
Shri Hanuman Temple,27.8758357,96.3596376,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,1
shiv mandir,27.95245,96.2547384,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,1
"Shiv mandir,ram mandir,ram mandir,dandariya mandir",28.0829046,96.525315,0,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,0
Vodaru shivdham,27.9967159,96.2428633,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,5
Shiv mandir changliang,27.91591,96.20691959999999,3,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,2
Demwe,27.9067778,96.28163289999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,1
Shiv Mandir,28.0779329,96.54287049999999,0,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,0
Parashurama kunda,27.8753037,96.36317679999999,4.6,"tourist_attraction, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,507
Chameliang shive mandir,28.0826114,96.5346795,0,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,0
Tidding ram mandir,27.9626623,96.40351919999999,0,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,0
Parashurama Kunda Ropeway,27.8767585,96.3620334,3.6,"tourist_attraction, point_of_interest, establishment",temples,Arunachal Pradesh,All Seasons,Anjaw,5
Hotel Mishmi Hills cum Home stay & Anu Nimai Restaurant,28.0797897,96.522959,4.3,"lodging, point_of_interest, establishment",hills,Arunachal Pradesh,Winter,Anjaw,37
Lohit Viewpoint,27.8784176,96.3587072,4.5,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,22
View point,27.9163036,96.3315485,4.6,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,21
Kuh-maroh water fall,28.2815192,96.57410639999999,4,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,6
Lohit-Mountain view,27.9617477,96.3929079,4.7,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,3
View point,27.950256,96.407562,4,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,1
Place for photo shoot,27.9175114,96.3335736,4.3,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,3
Tezu Islet,27.9529217,96.1933789,5,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,1
View point of Parshuram kund,27.8804,96.3671555,4.9,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,8
One of Tributaries of Lohit river,28.0378835,96.43757079999999,4.5,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,2
Parashurama Kunda Ropeway,27.8767585,96.3620334,3.6,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,5
Parashurama kunda,27.8753037,96.36317679999999,4.6,"tourist_attraction, place_of_worship, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,507
Hawa Camp (Lohit View),27.9213665,96.3313012,4.6,"park, tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,79
Shree Parshurama Kunda Temple,27.8760781,96.3595711,4.5,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,1232
Gandhi Statue,28.0804624,96.5225111,5,"tourist_attraction, point_of_interest, establishment",attraction,Arunachal Pradesh,All Seasons,Anjaw,3
Dehing Patkai National Park,27.3051589,95.5257896,4.4,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,102
Stillwell Monument park,27.3192819,95.81435929999999,4.1,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,92
Digboi Centenary Park,27.3873512,95.61458429999999,4.2,"park, tourist_attraction, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,589
Dr. Bhupen Hazarika Children's Park,27.2903632,95.67573569999999,3.9,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,82
Digboi Station Park,27.3869185,95.6158299,4.3,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,10
Dehing Patkai National Park,27.3432258,95.54247199999999,4.6,"tourist_attraction, zoo, park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,145
SCP @ Digboi Refinery Township,27.3862862,95.6159066,4.1,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,15
"Soraipung Range,Digboi Forest Division,Dihing Patkai National Park",27.3115143,95.4693613,4.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,14
Margherita Eco Park,27.2882289,95.65963939999999,4.1,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,58
Margherita Charali Netaji Memorial Park,27.2898513,95.67893289999999,4.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,6
Gandhi Park Ledo Bazar,27.2910721,95.7431556,3.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,83
Changlang Arunachal Pradesh,27.140519,95.7368571,4.2,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,80
Khonsa Park,26.9916589,95.5086548,3.7,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,143
Sarat boro Island,27.3559651,95.7748067,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
দিহিং পাটকাই ৰাষ্ট্ৰীয় উদ্যান,27.2370633,95.45086429999999,4.3,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,4
Baragolai Netaji Park,27.2774156,95.7103889,3.1,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,16
Dihing Patkai National Park,27.3115975,95.46971789999999,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
দিহিং পাটকাই ৰাষ্ট্ৰীয় উদ্যান,27.2493619,95.4125962,4.3,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,35
Jeypore Rainforest,27.3272894,95.495655,4.4,"zoo, park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,45
Digboi Reserve Forest,27.3579484,95.53317729999999,4.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,22
Coal Heritage Park & Museum,27.2884933,95.67351400000001,4.2,"museum, tourist_attraction, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,631
THANI PARK (AWADESH),27.3208091,95.82954289999999,3,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
Ridge Point,27.388109,95.63235809999999,4.3,"tourist_attraction, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,27
Tipam deosali hills,27.2604373,95.4152224,4.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,409
Eco park,27.298965,95.740336,3.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,2
Bhupen Hazarika Park,27.2968022,95.6564234,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
10 KLD Faecal sludge treatment Plant (FSTP),27.3770354,95.661244,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
"Ulup Pather, উলুপ পথাৰ",27.359266,95.740155,4,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,2
Dirok airfield,27.2803117,95.6196416,4.2,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,5
Bokuloni Bor Pothar (বকুলনী বৰ পথাৰ),27.3539176,95.4147809,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
Moh mol ground officer colony,27.1352533,95.73155,3.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,6
Changlang Arunachal Pradesh,27.1355348,95.73644170000001,4.8,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,4
Evergreen Nursery,27.3064106,95.6445432,4.8,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,11
Sudhakantha Kanon Tipong Colliery,27.3106493,95.8630306,3.6,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,5
দিহিং পাতকাই অভয়াৰণ্য,27.3794603,95.599393,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,3
TRIDIP HOME,27.3025625,95.66564059999999,3.7,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,3
Hassak paddy field,27.3614415,95.8118222,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
দিহিং পাটকাই ৰাষ্ট্ৰীয় উদ্যান,27.3330285,95.6110649,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Utpal soren,27.3563437,95.6484241,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Ledo forest reserve,27.2997794,95.7407175,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Pradip Munda House,27.3799375,95.87543749999999,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Khaman Pather Forest office,27.3710472,95.7377113,3.7,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,10
Manmow pathar,27.3472976,95.74773049999999,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
Tong Tilla,27.2574265,95.63019709999999,4.5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,4
Jiten Hajong Home,27.3803632,95.89703829999999,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Ledo matti,27.3029909,95.72584549999999,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Akash Small Tea Garden,27.3750248,95.9050365,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
Deomali Elephant Reserve,27.212063,95.49464499999999,5,"zoo, park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
Deepak barla,27.2723496,95.6124952,4,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,2
Paharpur Pur,27.3429022,95.8562778,1,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
kadir Ali home,27.367186,95.613653,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
1 No Wara Village Assamness,27.355695,95.9680133,4.7,"campground, park, lodging, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,3
Katha adarsha N.C.assam,27.3699651,95.9313485,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
AASU All Assam Students' Union,27.2900876,95.6801479,0,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,0
View point of kaimoi village (panshih nu gem ) Nassagem),26.8518468,95.4159825,5,"park, point_of_interest, establishment",parks,Arunachal Pradesh,Spring,Changlang,1
