Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Sudhakantha Dr. Bhupen Hazarika Children Park Nalbari,26.4448724,91.438457,3.8,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,90
Gandhi Park,26.4455361,91.4513581,3.8,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,122
Gwjwnphuri Park Mushalpur,26.6666497,91.34460849999999,3.6,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,85
Kaldiya Banani Park,26.4275382,91.1505349,3.6,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,126
Ghograpar Hari Mandir Park,26.4502849,91.5272257,4.7,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,3
Panchawati park,26.51205,91.2299712,4,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,6
"मावजि पार्क, Maowji Park",26.6792507,91.3372954,3.6,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,24
Childern Park,26.7957357,91.5052285,4.1,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,10
Manas Park View Point-3,26.7724852,90.9860159,4.6,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,7
Manas Park View Point-2,26.7172944,90.9864135,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
"Waste to Wonder Park, Tihu MB",26.4742165,91.2685558,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Nature Park,26.4237752,90.9743905,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
Manas National Park Camp Buraburi মানাহ ৰাষ্ট্ৰীয় উদ্যান,26.7226403,91.0441625,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,10
AGRO ECO TOURIST PARK AHOPA,26.7023607,91.30528230000002,4.9,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,7
Galia Forest Reserve,26.4424627,91.0503889,4.1,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,51
Pancha Pandav Chang,26.6798637,91.3979828,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
Children's park,26.4605399,91.4333034,3.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,4
Bio Diversity Park Batiamari,26.6288898,91.1494957,4.4,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,5
Manas Park Rhino View Point,26.6599573,90.9909414,4.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,13
Manas National Park,26.670434,91.0409123,5,"tourist_attraction, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
Manas National Park,26.8101743,91.2394832,4.3,"tourist_attraction, park, point_of_interest, establishment",parks,Assam,Spring,Baksa,9328
MICHI VILLAGE ECO CAMP (MANAS NATIONAL PARK),26.6511856,91.0294456,4.2,"campground, park, lodging, point_of_interest, establishment",parks,Assam,Spring,Baksa,5
Manas Boat Safari,26.6593865,90.9902714,4.1,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,10
Manas Jeep safari,26.6507041,90.9974903,4.4,"park, travel_agency, point_of_interest, establishment",parks,Assam,Spring,Baksa,36
Children Park,26.7933193,91.5032545,3.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,4
Myna Eco Camp,26.6561229,90.99937899999999,4.9,"campground, park, lodging, point_of_interest, establishment",parks,Assam,Spring,Baksa,15
Manas National Park and Tiger Reserve,26.6507004,90.9974907,4.7,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,33
Kanchanbari forest camp,26.7459502,91.104028,4.8,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,4
Recreation Park (Mani Dungkhor),26.7940838,91.50438199999999,4.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,4
Bhuyanpara Forest Range Office,26.7059873,91.1073131,4.4,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,76
Hagrary residency,26.5407507,91.4485637,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,3
Athiabari gate,26.6005262,91.27544569999999,2,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,4
Mandelar chowk,26.4237602,91.4494108,4.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,12
Manas National Park Jeep Safari,26.6586678,90.99751979999999,4.5,"tourist_attraction, park, point_of_interest, establishment",parks,Assam,Spring,Baksa,17
Ulubari to chouduritup 3 paint rood,26.5727455,91.30355139999999,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Bilashipara pollar par park,26.5288906,91.0284884,3,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
Nalbari Town Park,26.4448775,91.43907089999999,3.8,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,290
Gwswm Betelnuts Garden----Biggest Betelnuts Garden in Baksa subankhata,26.7563116,91.42653089999999,4.8,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,6
SUBANKHATA CHILDREN'S PARK,26.7631021,91.41734729999999,4,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Jyouti farmers club,26.495172,91.47152469999999,0,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,0
Dongpar Sluice Gate,26.7005138,91.12686699999999,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Pitpara pool,26.4443512,91.5089306,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Howly,26.4238479,90.9745629,4.3,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,16
"Kendur Tol,Moinpur",26.4350688,91.4450186,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,3
"Guruji Adya Sarma Park, Nalbari",26.4420776,91.4375646,3.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,4
Dr. Bhupen Hazarika Statue,26.5003778,90.96649310000001,4.3,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,6
Swami Vivekananda Statue,26.4991905,90.96873509999999,4.8,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,8
"B, C BLOCK RAAS MANDIR PARK.",26.6925498,91.3946491,3.7,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,3
Daimalu Banana Garden,26.674589,91.10900199999999,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Martyr's Corner শ্বহীদ বেদী,26.4231831,90.9749025,4.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,13
Manas National Park Main Gate,26.6593347,91.00108929999999,4.4,"tourist_attraction, point_of_interest, establishment",parks,Assam,Spring,Baksa,108
Amar adda (dong),26.5822356,91.20494790000001,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,3
Bhai Bhai Nursery,26.5266519,90.9703753,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,1
Chitrajyoti Tarani Kanta Barman Complex,26.4745721,91.347223,4.5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
Bhargab talukdar,26.5027316,91.17481529999999,4.7,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,3
Pool deep,26.6640394,91.36136259999999,5,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,2
Greenland nursery,26.4559116,91.5034352,4.2,"park, point_of_interest, establishment",parks,Assam,Spring,Baksa,12
