Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Beech Park,20.9789073,81.2918554,4.2,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,20
Swami Vivekanand Park Darra,20.7131984,81.44659639999999,4.9,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,9
Hospital Sector Mini Park,20.5888051,81.0828342,3.5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,52
Picnic Spot,20.8628909,81.0344813,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,3
Bindeshwari Baghel Park,20.9837122,81.0814363,3.9,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,29
Environment park,20.7159589,81.18368869999999,4.4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,16
Oxygen Park,20.870297,81.24108989999999,3.4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,12
"Park ,Sarekha",20.8508863,81.3153998,4.3,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,4
MR RTESH Masiyare,20.530524,81.1580031,3.5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,2
Jalpari Garden no.2 Dalli Rajhara,20.5825817,81.079745,3.9,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,143
Jhalmala,20.7160799,81.2401805,4.2,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,42
Gurunanak marriage garden,20.6745442,81.4023462,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,12
Iraguda party place,20.8987425,81.283096,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
Shivaji park,20.9734833,81.2933671,3.5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,2
आदर्श गौठान भर्रिटोला (43),20.6353496,81.0523744,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,1
Pt. Dindayal Upadhyay Memorial,20.7887079,81.0552604,4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,41
Dupchera तालाब,20.7101956,81.43170479999999,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,2
Radha swami satsang Vyas,20.8110331,81.359015,3.8,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,13
Diggi baadi,20.9517758,81.26486469999999,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,4
Kurrutola,20.5030853,81.1453535,4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,1
Saptgiri Park,20.5822337,81.0872223,4.1,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,335
Chikhalakasa Garden,20.599004,81.0746032,3.4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,114
Aarogya Watika,20.587436,81.0788273,4.3,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,32
Chill Zone,20.8100305,81.3567296,4.3,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,3
Bhesu home,20.8871417,81.0734532,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
Navnit,20.7456907,81.1657644,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
Sanjari balod,20.8599044,81.0242847,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,1
अटल चौक,20.7724882,81.0936217,4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,1
हीरापुर गार्डन,20.7271244,81.2189902,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
ASHOKRATAN FARM,20.6922281,81.0660161,5,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,3
श्री राम वाटिका,20.7300781,81.2136974,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
Mini dam gainji,20.7138113,81.0798923,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
Mango Garden,20.5143645,81.3891227,4,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,1
Talab,20.7885286,81.2577534,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
Yadav's farm,20.7758446,81.229325,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
नलकसा मैदान,20.5093276,81.00608179999999,0,"park, point_of_interest, establishment",parks,Chhattisgarh,Spring,Balod,0
