Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Sabarmati Riverfront Flower Park,23.0164618,72.5733581,4.5,"park, tourist_attraction, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,43826
Oxygen Park,23.0328067,72.63245359999999,4.4,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,902
Central Vista Garden,23.2260444,72.6437859,4.6,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,821
Riverfront Children Park,23.0648147,72.59582929999999,4.5,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,1394
Riverfront Park,23.0571379,72.5825284,4.5,"park, tourist_attraction, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,16890
Symphony Forest Park,23.0449765,72.5115345,4.6,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,1367
Madhav Udhyan,23.0673183,72.6507805,4.4,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,1834
Sukan Park,23.0196094,72.5410181,4.6,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,442
Vastrapur Lake Garden,23.0386267,72.5289351,4.2,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,11217
Riverfront Garden,23.0426601,72.5720757,4.5,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,2273
Tulsi Public park,23.0542774,72.5216753,4.3,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,1105
Public Park,23.1837125,72.6339103,4.4,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,146
Police Children Park Sector-27,23.2489981,72.6508956,4.3,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,646
Oxygen Park,22.9845315,72.6295729,4.2,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,316
Goswami Ji Garden,23.0312645,72.4633788,4.8,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,18
Green Dream Park,23.2074419,72.6481936,4.2,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,820
Toy Train Park and Garden (Sector 28 Garden),23.2497965,72.6600729,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,2221
Sector 4 Park,23.2095441,72.6233314,4.3,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,1161
Chandrashekhar Azad Garden,23.0291577,72.53276819999999,4.2,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,810
Children Traffic Park,23.0261743,72.5797699,4.2,"park, point_of_interest, establishment",parks,Gujarat,Spring,Ahmedabad,81
