Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Sector 40-A Park,30.7405124,76.73882499999999,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,789
Park - Sector 38,30.7428705,76.7428865,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,276
"Municipal Park, Lohgarh",30.64280459999999,76.8182442,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,1727
Tej Bagh Colony Park,30.3233126,76.41610829999999,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,318
Park - Sector-47C,30.6909177,76.76764639999999,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,497
Sector 53 Sas Nagar Mohali Park,30.7188749,76.7280121,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,52
Vijay Nagar Park,30.369973,76.781803,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,81
Park Sector 46 C,30.7009772,76.7634089,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,1709
park sec 80,30.6699526,76.7145735,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,300
Sector 7 Nagar Nigam park no19,30.3752011,76.782122,3.7,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,115
Sector 33B - Park,30.7152101,76.7778065,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,123
Nehru Park 22 Chd,30.7336584,76.7724247,4.3,"park, tourist_attraction, point_of_interest, establishment",parks,Punjab,Spring,Ambala,3048
Sector 4 Park,30.691967,76.86259,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,229
Public Park - Sector 21 D,30.7241772,76.7716425,4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,67
Central Park,30.6910538,76.71960729999999,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,87
Public Park - Sector 27C,30.7214948,76.79837859999999,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,122
Leisure Valley Park Mohali,30.6999058,76.7366618,4.6,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,990
Shivalik palm city park no 1,30.7268037,76.659841,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,32
Public Park - Sector 23-D,30.7383874,76.7597385,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,80
46 Park,30.7049083,76.7639952,4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,132
Public Park - 2,30.69266949999999,76.8425785,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,48
Public Park Sector 43B green park,30.7187026,76.7504252,3.9,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,84
Ekta Park,30.7100968,76.72689989999999,4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,221
Public Park Sector 27D,30.7197051,76.7934606,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,315
Park 35D,30.7235916,76.7559325,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,939
Shaheed Bhagat Singh Park,30.1364484,77.2814404,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,582
Sector 38 Sugar Sister Park,30.7469147,76.7500219,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,173
Phase 4 Public Park,30.7177947,76.7217926,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,322
Park 2,30.67185379999999,76.73063739999999,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,65
Sector 20A - Park,30.7246265,76.7806279,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,240
Municipal Park Kharar,30.7537724,76.6313821,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,791
Green Belt Park,30.6946954,76.7540207,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,274
Sector- 25 Park,30.6721,76.8843,3.9,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,153
Park 16,30.703138,76.8390977,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,99
Sector 20C - Park,30.7188485,76.7812726,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,394
Park 15,30.6923907,76.72533349999999,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,89
Public Park Dhakoli,30.64956189999999,76.8477589,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,613
Moon Park,30.736769,76.80766050000001,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,240
Park Baltana,30.6672023,76.8218246,3.8,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,201
"Park, Chandigarh",30.7366321,76.792484,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,92
Fountain Park,30.7233117,76.7554809,4.5,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,267
Krishna Garden Park,29.963454,76.837197,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,239
Daughter's Dreamland Park,30.7151367,76.7579205,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,207
Huda Park,29.9711994,76.8596668,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,230
Sector 20A - Park,30.7272342,76.7846502,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,108
Sector 59 Park,30.711372,76.7123521,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,77
Family Park,29.9689079,76.8608568,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,157
Park 2,30.7081839,76.7423343,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,165
Albert Ekka Nature Park,30.308097,76.355871,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,133
Ashok Vihar Park,30.391669,76.7620946,3.9,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,279
Herbal Park,30.366077,76.8055973,3.7,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,174
"Urban Park, Sector 17",30.7375037,76.7793609,4.7,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,38
Convoy Park,30.347406,76.8451766,4.1,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,200
Tiger park,30.7282989,76.87229909999999,4.3,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,51
Bougainvillea Park 3 Chd,30.7582694,76.7959428,4.4,"park, tourist_attraction, point_of_interest, establishment",parks,Punjab,Spring,Ambala,1904
Deer Park,30.7192816,76.8641686,4.2,"park, tourist_attraction, point_of_interest, establishment",parks,Punjab,Spring,Ambala,434
Dog park,30.7297925,76.8579647,4.4,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,36
Park 11 (Shri Ram Park) No 2112,30.68010259999999,76.8660712,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,143
Valley of Animal Park,30.6930067,76.7511464,4.2,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,1372
Park 3,30.7365005,76.73261,4.7,"park, point_of_interest, establishment",parks,Punjab,Spring,Ambala,3
Srikrishna Museum,29.9650883,76.8331343,4.5,"museum, tourist_attraction, point_of_interest, establishment",museum,Punjab,Winter,Ambala,7787
Kurukshetra Panorama & Science Centre,29.9660103,76.83390229999999,4.4,"tourist_attraction, museum, point_of_interest, establishment",museum,Punjab,Winter,Ambala,12593
International Dolls Museum,30.7411787,76.7709814,4.1,"tourist_attraction, museum, point_of_interest, establishment",museum,Punjab,Winter,Ambala,1985
