Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Jawahar Park,31.5267719,76.8867928,4.1,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,861
Sunny Side Park,30.9056878,77.0986035,3.7,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,297
Torrent Park,30.9413868,76.80776039999999,4.1,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,1272
"Hamirpur Children park - Hamirpur District, Himachal Pradesh, India",31.6970577,76.5146103,4.2,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,1937
Park,30.9749438,76.5255834,4.1,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,407
Mandvya Nature Park,31.7152066,76.9354168,4.4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,169
"The Children Park - Solan District, Himachal Pradesh, India",30.9090437,77.0999318,3.9,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,1338
Dada Dadi Park,31.1031951,77.1781544,4.4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,15
Chitkara Park,31.11293379999999,77.1625023,4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,105
Jawahar Park,31.7216528,76.9357629,3.9,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,311
Mohan Shakti National Heritage Park,30.9375378,77.1487983,4.7,"tourist_attraction, hindu_temple, park, place_of_worship, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,5472
Park,31.3878802,76.38105929999999,4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,80
Daulat Singh Park,31.1045475,77.17435449999999,4,"park, tourist_attraction, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,938
BBMB Park,31.528362,76.90693379999999,3.9,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,111
Amravati Appt. Park,30.9426752,76.8134397,3.9,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,461
Capt. Amol Kalia Park,31.3841888,76.3433189,4.4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,783
Children park,31.0946462,77.2053608,3.8,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,22
Oakover Park Benmore,31.092482,77.1773766,4.4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,11
JSK Park,30.9406386,76.8056586,3.9,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,92
Students Park,31.7070915,76.5284503,4.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,351
MANREGA PARK,31.5753086,77.1538781,4.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,174
GHNP GREAT HIMALAYAN NATIONAL PARK,31.7168646,77.2090511,4.5,"parking, park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,19
public park,31.0417079,76.7151777,4.5,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,32
Park,30.9315195,76.796523,3.8,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,199
Dr. Sunetar Parkash Singh Kesri Park Sundernagar,31.5360172,76.9008704,4.8,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,13
Children Park,31.3466202,76.7620654,4.3,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,69
Khariri park,31.5349165,76.89703349999999,4.1,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,23
Markfed Gate,31.2181206,76.5354825,4.2,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,96
Nature park at bagla mukhi,31.6683023,77.0814853,4.7,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,31
Rajpura Park,31.0434501,76.683824,4.3,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,69
BBNDA Park,30.9301146,76.8214196,4.3,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,16
Shishu (M.C.) Park,30.90794769999999,77.110765,3.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,132
"SHUKDEV VATIKA PARK, SUNDERNAGAR",31.5389916,76.8954895,4.4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,18
Salaria Park,30.97754789999999,76.98812699999999,4.2,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,124
Dr.B.R.Ambedkar Park,31.3809355,76.3501716,3.5,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,43
Sutlej Park,31.3955023,76.3820892,4.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,92
Park,31.0437313,76.7164205,4.1,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,20
Eco Park,31.3329967,76.7708272,4.1,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,12
Bakhli Eco Tourism Nature Park,31.6688722,77.0816767,4.5,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,54
Devidarh park,31.47486829999999,77.12084829999999,4.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,563
Nagar Nigam Park,31.1056748,77.1633651,4.3,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,24
Public park,30.9026502,76.40212160000002,4.7,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,6
"Circuit House Willy Park,",31.1023821,77.1495917,4.4,"park, lodging, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,534
Swiss Park,31.4094375,76.3476902,3.7,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,55
Kargil Park,31.7082447,76.9329903,4.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,5
Park,31.033414,76.5778667,3.7,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,17
MT Park,31.104274,77.107563,4.3,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,127
Subhash Park Jamsai,31.7090266,76.73659409999999,5,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,1
Gobind Valley Park,30.96634999999999,76.5382614,4.4,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,38
Children Park & Open Gym,30.8990737,76.9601012,4.3,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,190
Children park,31.6936009,76.5185292,4.5,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,47
Park,30.9444698,76.7989068,3.9,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,54
Nikku nangal park,31.378234,76.38880209999999,4.6,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,13
Shampura park,30.9632431,76.50691069999999,0,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,0
Children Park Dholra,31.3326204,76.7582442,4.7,"park, point_of_interest, establishment",parks,Himachal Pradesh,Spring,Bilaspur,3
