Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
"Public Park, Ashmuji",33.66813440000001,75.0699308,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,79
Dara Shakoh Public Park,33.7881414,75.1074623,4.4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,22
Iqbal Park Dandipora,33.5914805,75.38166249999999,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,24
Wazir park Anantnag,33.7330841,75.1444623,3.9,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,80
Jinaz Gah,33.7313499,75.1534042,4.4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,24
Jehlum View Park,34.0717118,74.8216064,4.3,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,940
Martyrs Park,34.106586,74.82403889999999,4.2,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,131
Public park pehroo,33.7373623,75.1766559,5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,1
Public park wasoora (Bonibagh),33.8337746,74.97577079999999,4.5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,8
Bonebagh park,33.7333705,75.14445429999999,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,7
Park Umaro,34.0106708,75.3153104,4.4,"park, tourist_attraction, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,1421
Rani Bagh Park,33.732394,75.1534326,4.6,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,19
"Eco Park, Foreshore Road",34.1426217,74.8620596,4.2,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,18
Chawalgam green park,33.64652969999999,74.9889847,3.9,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,127
Midway Park Akad آکڈ پارک,33.8143074,75.2511875,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,1232
Chawalgam park,33.6473464,74.98907729999999,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,49
Gulshan Park,33.8638474,75.278348,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,805
District Park Kulgam,33.6415625,75.0113125,3.9,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,102
Emporium Park امپوریم پارک,34.0723993,74.8269358,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,369
Island park,34.0108874,75.31526509999999,4.4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,31
Jenab Sahib Public Park and Playground,34.1417682,74.7979095,4.4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,88
Cherry Park چری پارک,34.1173917,74.8271084,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,237
Nehru Park,34.0902139,74.84576450000002,4.4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,314
Gulshan Park گلشن پارک,34.03531,74.8087815,3.8,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,300
Dalview Park,34.0881417,74.84793309999999,4.5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,21
Park,34.0767218,74.77397049999999,4.2,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,17
Pine view Hill Park Kokernag,33.58849319999999,75.28446890000001,4.4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,34
BATWARA PUBLIC PARK,34.0601159,74.8512523,3.7,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,209
PADPAWAN PARK,33.6872735,74.78357059999999,3.9,"park, travel_agency, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,23
Khoje park,34.0879765,74.7680347,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,14
PUBLIC PARK KHANPORA,34.0145367,74.73442969999999,4.7,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,6
Lavender Park,33.8468382,75.15696249999999,4.2,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,91
Chinar Heritage Park بونۂ باگ,34.13603680000001,74.8399061,4.5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,77
Waniyar Public Park,34.095981,74.784818,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,5
Sk(public park),33.906942,74.9019209,4.8,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,8
HIG/MIG PARK,34.090068,74.766395,5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,1
Park,33.9143891,74.9149182,5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,1
Shabir Parry park,33.7341414,75.1548517,5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,1
City Park Donipawa( Social Forestry Division Anantnag),33.7190014,75.17428919999999,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,4
Abu Bakar Masjid Park مسجد ابوبکر پارک,34.0357887,74.8084332,4.9,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,10
Shaheed park Barpora pulwama,33.8887363,74.88353769999999,3.7,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,34
Park (Jamia masjid),33.675292,74.90067839999999,5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,3
MIG Colony Park,34.0890874,74.7694295,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,39
Makai Park,34.097357,74.8735616,4.5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,11
Zehra park (B.Z Park Budgam),34.0265579,74.7218407,4.9,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,15
Naseem park Hazratbal,34.1326482,74.8417821,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,7
Lidder View Park Pahalgam,34.018696,75.317319,4.6,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,33
Sheikh ul alam park,33.9126072,75.10540630000001,5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,13
Chinar Park,33.907627,74.9378485,4.3,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,7
Masjid Park,34.09966490000001,74.7821076,0,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,0
PARK,34.0303449,74.8084258,3.8,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,86
Nistha park,34.1213989,74.8802242,4.3,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,43
Lavender Park,33.8423455,75.1523299,4.5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,19
Khojarbal park,34.1055622,74.8298298,2.5,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,2
River View Park,34.0690606,74.8292377,4.1,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,285
Yusmarg Park,33.8290831,74.6630538,4,"park, point_of_interest, establishment",parks,Jammu & Kashmir,Spring,Anantnag,161
