Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Housing Colony park,23.8072426,86.4344886,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,56
Children's Park,23.7394444,86.4147222,3.9,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,1116
Amrut Park,23.6402268,86.15864119999999,4.2,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,1491
Bekarbandh Park,23.8003433,86.42921100000001,4.2,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,835
"Govardhan Eco Restoration Park, Bera",23.768558,86.4287778,4.4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,72
Rajendra Sarovar Park,23.7999936,86.43100779999999,4.2,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,1031
Children's Park Sector 4/D,23.6733357,86.1529693,3.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,372
UGC Park,23.810465,86.4422153,3.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,133
Nehru Park,23.7710995,86.37155249999999,3.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,800
Rajendra Park (Bekar Bandh),23.7998706,86.43120420000001,4.3,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,74
Eco Park,23.6374646,86.1684882,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,47
Lal Bahadur Shastri Park,23.6500973,86.1341717,3.6,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,115
Station Park,23.6583002,86.08283399999999,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,58
Daffodil park(YaMi),23.6787625,86.16195309999999,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,162
Barmasia Park,23.7848045,86.44238899999999,3.8,"park, tourist_attraction, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,649
Amrit Park,23.6127259,86.1776624,3.6,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,905
Railway Park,23.7900593,86.42840129999999,3.2,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,31
Sector 4F Park,23.674637,86.1593194,3.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,1480
Royal Garden Park,23.6665046,86.02179149999999,3.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,1322
Birsa Munda Park,23.8306392,86.4155435,3.8,"park, tourist_attraction, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,6208
Vivekanand park,23.5760252,86.36314080000001,4.2,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,91
City Park,23.749314,86.3935785,3.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,37
Bhawanipur Maa Kali Mandir Park,23.6194336,86.1856081,4.4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,54
"Children's Park, Sector-6A",23.6743192,86.1701975,3.5,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,256
Near ECO Children Park,23.678724,86.1611868,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,26
Hi-Tech Park Chas Nagar Nigam,23.612419,86.178058,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,113
Green triangular park,23.7058125,86.4051406,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,57
Green Park,23.8121087,86.3083369,3.9,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,100
Vaishnavi & Vaibhavi Wellbeing Hub,23.8009718,86.4300755,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,616
Liloristhan Park,23.8236099,86.2996412,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,368
Khandala Park,23.6835227,86.1593121,3.7,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,39
Ambedkar Park,23.7646241,85.8799439,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,173
Shaheed Bhagat Singh Park,23.6388182,86.1465005,3.8,"park, tourist_attraction, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,191
Jamgoria park,23.6388017,86.2071184,5,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,3
Peace Park,23.6680621,86.1475006,4.8,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,4
Bachat Udyan,23.6665154,86.14373789999999,3.4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,134
ISM children park,23.8104729,86.4377958,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,14
6&7 Pits Tata Park,23.7192451,86.4037012,3.9,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,268
New Ecological Park,23.8123989,86.30832819999999,3.5,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,11
Damoda Biodiversity park,23.7783898,86.167546,4.4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,17
Park,23.6783035,86.1536898,4.3,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,103
Babu vir kunwar singh Park,23.7646278,85.8799446,3.7,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,38
Golf Ground Park,23.803729,86.43605769999999,4.9,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,7
Cmpf Boys Ground,23.8070094,86.4439558,3.5,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,39
O.N.G.C Park,23.6661852,86.1441277,3.6,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,5
Eco Vatika,23.8129617,86.44434199999999,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,41
Netaji Subhas Chandra Bose Park,23.7905161,85.88309079999999,4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,219
FRIENDS PARK,23.7653602,86.4349436,4.3,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,11
Housing colony children park,23.8062567,86.4349318,4.4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,8
Ambedkar Park,23.677079,86.1527363,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,21
Jawaharlal Nehru Biological Park,23.6805622,86.1533331,3.7,"zoo, tourist_attraction, park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,3467
Railways Old Park,23.6436366,86.44676539999999,4.7,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,6
Shakti Udyan Park,23.7939907,85.8863617,4.5,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,2
Kali Mandir Park,23.6437088,86.13097719999999,4.6,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,20
Eco Restoration Park,23.8127213,86.33967890000001,3.4,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,5
Sickline Colony Park,23.8708949,86.14346590000001,3.9,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,141
Prakhar's Park,23.655622,86.0723821,0,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,0
Area Colony Park,23.7502423,86.27466919999999,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,26
Gopalichak No 2 park,23.7694059,86.36809559999999,4.1,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,15
Manaitand Park (Dhanbad Municipal Corporation),23.7802696,86.4292754,3.7,"park, point_of_interest, establishment",parks,Jharkhand,Spring,Bokaro,110
Geological Museum,23.8144432,86.44120219999999,4.6,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,30
Nagda Basti,23.7227974,86.2496942,4.5,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,20
"Rail Heritage park, Dhanbad",23.7876126,86.4381398,4.8,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,5
Bada Dam,23.9138415,86.1219589,4.5,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,4
"Rathtand,Baghmara",23.7904827,86.2059989,3.9,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,81
Lukaiya Kabarsitan,23.6276091,85.8728766,4.1,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,9
Oldih Bajrangbali Mandir,23.4073338,86.01659049999999,3.3,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,3
Durga mandir,23.4057611,85.92144549999999,3.7,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,3
Brahma Kumaris Museum Birsa Munda Park Dhanbad,23.8237499,86.415182,4.5,"health, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,4
Kali Mandir,23.8946749,86.4473635,4,"museum, point_of_interest, establishment",museum,Jharkhand,Winter,Bokaro,1
