Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Professor Colony Park,16.5114079,75.2728486,3.9,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,245
Vijaya Nagar Park,15.9704172,76.1094507,4.3,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,20
Sector 42 Park,16.1532666,75.651716,3.7,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,94
Public Garden || Agrotech Park || Nava Nagar || Baagalakote,16.1678249,75.6437455,3.9,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,180
Rock Garden,16.3360743,75.9001858,4.4,"park, tourist_attraction, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,1317
Sainik Nagar Park Amar Javaan,15.7323308,75.9524252,4.8,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,9
Garden And Park || Nava Nagar || Baagalakote,16.1569549,75.6687869,4.2,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,23
Sangam Park,16.0557513,75.9573624,3.6,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,24
Almatti Dam Garden,16.3365238,75.9003128,4.6,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,1157
Katti Keri Garden,16.4920563,75.2903889,4.3,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,268
Siddi Vinayak Temple's Park and Garden,16.1840909,75.66506470000002,4.4,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,49
Entrance Plaza - Almatti,16.3351995,75.8938226,4.5,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,815
Local,16.2048805,75.5025643,3.8,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,202
Public Garden Nagaravana || Nava Nagar || Baagalakote,16.1541912,75.66553809999999,3.7,"museum, park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,72
Shree Danammadevi Udyanavana,16.5055854,75.2994628,3.6,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,46
Sri Yallalingeshwara Walk Park,16.3819481,75.40024079999999,4.5,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,6
CHILDREN PARK,16.5279592,75.85087639999999,4.7,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,6
Forest Department Park || Kaulpet || Baagalakote,16.182563,75.6936657,3.6,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,110
Hungund Children's Park,16.056956,76.05897929999999,4.3,"park, point_of_interest, establishment",parks,Karnataka,Spring,Bagalkot,4
