Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Vaikom Joggers Park,9.7469662,76.38993099999999,4.3,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,525
Udaya Park,9.5434238,76.3202177,4.4,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,26
Neendoor park,9.6855794,76.50035419999999,4,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,714
Cherthala Relaxing Area,9.693430600000001,76.34328440000002,4,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,184
Childrens Park Vaikom,9.7500346,76.3894428,4.7,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,13
Vijay Park,9.4977462,76.3170227,3.7,"park, tourist_attraction, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,853
"Manackachira River Side Park,Thiruvalla",9.3846993,76.60688209999999,3.8,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,232
Municipal Park | Changanasserry,9.451967,76.53671,3.5,"park, tourist_attraction, gym, cafe, amusement_park, health, restaurant, food, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,2926
Gramodhyanam - Children's Park Kuravilangad,9.7600684,76.5771157,4.1,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,216
Kokkottuchira Pond + Park,9.439784099999999,76.571601,3.9,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,264
Muncipal Park | Ambily Junction,9.3797205,76.5604731,3.5,"park, tourist_attraction, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,485
Chaithanya Park & Traditional Food Court,9.6439639,76.54465689999999,4.6,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,76
WALL STREET ART,9.6661448,76.3424094,4.7,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,10
Depot park,9.6052736,76.5398678,5,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,1
Angaadi Theeram View Point,9.5513266,76.5668029,4.4,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,155
Sunday Park Bird Sanctury,9.7083529,76.5720855,3.6,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,18
EspySoul Lake View,9.6412201,76.41890819999999,4.4,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,198
Podiyadi Panchayat Complex Park,9.365416399999999,76.5448651,5,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,1
പുഴയോര സായാഹ്നം,9.5697417,76.53907559999999,4.4,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,153
Vrindavan Garden,9.679563,76.56016679999999,4.1,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,66
Muppalam Canal Heritage Park,9.4943754,76.3215779,4.3,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,22
Municipal Park Vaikom,9.749952,76.3894552,4.2,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,58
Nalumanikattu,9.608564099999999,76.57471199999999,4.2,"park, point_of_interest, establishment",parks,Kerala,Spring,Alappuzha,6217
