Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Bandiya Kua Makdone,23.5099832,76.0673196,3.9,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,26
प्रभु सुंदर कृषि फॉर्म,23.6621946,76.20711969999999,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
शासकीय संजय निकुंज उद्यानिकी गार्डन,23.7298266,75.99019299999999,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
City garden,23.7142223,76.0088454,2,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Dileep Singh Arya,23.6742581,75.8034157,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Park susner,23.9428148,76.0949973,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Makla,23.6346219,75.745707,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Pachlana gaushala,23.7366583,76.19812,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Jogchand krishi farm,23.7114068,75.8392933,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
GANDHI PARK (PUBLIC),23.7197341,76.0203323,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Dhakad Garden,23.5110762,76.06025260000001,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,2
पाटीदार समाज धर्मशाला,23.8339786,76.2438793,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
अंबेडकर पार्क,23.9427827,76.0949919,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
देव कृपा फार्म हाउस कोठडी,23.5279727,75.9921584,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Jamliya farm house,23.6966974,76.1665553,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,5
Solanki,23.8639492,75.8743065,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Khakra Wale Maharaj,23.7827051,76.20367139999999,4.2,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,5
Mukati farm house kanad,23.6827704,76.1811079,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Sandeep Gurjar,23.6857862,76.1997584,3,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,2
Mahadev karshi farm mahipal singh,23.6757424,76.031733,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Gurjar farm house,23.5111167,76.2423367,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Company Garden,23.7199498,76.0211246,3.9,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,272
Maa gayatri narsury,23.8360684,76.1139967,4.3,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,3
Op Ajad Om Rawal,23.7659301,76.2112389,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,4
सिसोदिया कृषि फार्म S.S.S.,23.6009375,75.7526875,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
"Sagwan wood, Satgaon",23.4769595,76.2692936,2,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Shree Ganga Parisar,23.9354479,76.10126629999999,4.7,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,30
Solar Plant,23.9766125,75.7576406,4.5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,2
Ashok Vatika,23.5988663,75.7204704,1,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Gehlot farmhouse,23.8490194,76.1822251,4.6,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,5
झिरनिया की ट्युबवेल,23.8946817,75.89204459999999,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Om garden,23.7062793,75.9985628,4.9,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,9
Rajput bhavan,23.7446603,75.92998419999999,4.6,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,5
YADAV KRASI FHRM,23.7530159,75.9951256,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
ASK farmhouse,23.4421397,76.2930013,1,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
पीयूष यादव होम 🏡🏠🏠🏩,23.969035,76.164108,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Ku_raj_bana_k.r,23.8514146,76.14641859999999,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
माधोपुरा महिदपुर क्रमांक 02 झारड़ा,23.4588221,75.7924262,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Rambharose Rathore,23.8660918,76.2023249,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Kaji marrige garden,23.7956967,75.8187532,4.3,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,3
Bharat Singh Chaudhary,23.4731314,76.006242,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Lim Choraha,23.9759781,76.22354349999999,4.5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,2
Gotam Labdhi Garden,23.6041269,75.7429636,3.7,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,3
छगन बा की टापरी,23.4625546,76.1338233,3.7,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,3
Dhanavad Farm 2,23.5701681,75.7978632,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Narendra singh rajput,23.9422663,75.9241,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,3
Tejaji krishi farm,23.6722597,76.175826,3,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,4
गोस्वामी भवन,23.6872074,75.8222639,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,3
Sheesham Tree,23.7174488,76.0156944,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
FOREST AREA,23.8874024,76.0603395,4,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Rathore krashi farming,23.6462097,76.2410295,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Darji Ba ki Kundi,23.7618646,76.2553532,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
R.R.MANDLOI FARM SINHASA INDORE,23.6691952,76.2258774,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Mohan Yadav Umariya,23.7938665,75.98908589999999,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Bagicha ramkishan ji,23.8309526,76.2129052,0,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,0
Vishwas rao dhule farmhouse,23.805557,75.822654,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Jhalaya Patel krishi from baigaon,23.7088199,76.1885709,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
महेंद्र सिंह सोनगरा भवन स्कूल के पास,23.7065865,75.9376146,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Arjun Lal prajapati,23.5148041,75.8478968,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,1
Agnihotri house,23.4978758,76.26767559999999,5,"park, point_of_interest, establishment",parks,Madhya Pradesh,Spring,Agar Malwa,2
Krishnpal singh,23.6579995,75.8470972,0,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,0
शिक्षा,23.6449429,75.76505279999999,3.4,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,8
JUGA ( the hidden place of agar ),23.7014187,76.0106418,5,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,1
Agar Darwaja।,23.789347,75.814735,3.1,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,12
जामा मस्जिद धंदेडा,23.5856652,76.272718,4.3,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,6
राम मन्दिर रणायरा,23.8006187,75.7522406,3.4,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,9
Kallaji Maharaj Mandir,23.6865451,75.894695,4,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,22
devaree mata g dis shajapur,23.5584839,76.286843,4.6,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,19
Hanuman Mandir,23.9244237,76.1525498,2.3,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,6
Solanki farm house 🏠,23.6629408,75.78075249999999,0,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,0
मालवीय बलाई यादव परिवार भेरु महाराज मन्दिर,23.4816802,76.2659761,1,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,1
museum of Thakur sab,23.8281558,75.9147545,0,"point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,0
निपानिया बैजनाथ,23.7424549,76.0534794,4,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,4
Birsa Munda Deputy Chok,23.7279071,76.2610478,3.7,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,23
परमार हाउस,23.4984939,75.891155,0,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,0
Chouhan farm house,23.9265509,76.0736063,0,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,0
JAY SHREE BALA JI MANDIR.ITS NIRAJ GURJAR,23.7379091,76.1361618,4,"museum, point_of_interest, establishment",museum,Madhya Pradesh,Winter,Agar Malwa,6
Water fall takhala,23.9809669,76.2539836,4.3,"tourist_attraction, point_of_interest, establishment",waterfalls,Madhya Pradesh,Monsoon,Agar Malwa,16
Kilkiliya Kund Waterfall Nalkheda,23.8506477,76.23227279999999,4.2,"tourist_attraction, point_of_interest, establishment",waterfalls,Madhya Pradesh,Monsoon,Agar Malwa,6
Small waterfall near temple,23.8446122,76.2352346,3,"tourist_attraction, point_of_interest, establishment",waterfalls,Madhya Pradesh,Monsoon,Agar Malwa,1
The great Indian Fountain,23.7904646,75.8054324,4.6,"point_of_interest, establishment",waterfalls,Madhya Pradesh,Monsoon,Agar Malwa,30
Choti Kali Sindh River,23.5663276,75.8587289,4,"natural_feature, establishment",waterfalls,Madhya Pradesh,Monsoon,Agar Malwa,714
"Shri Trimurti Digamber Jain Temple, Susner",23.941948,76.10103629999999,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",beaches,Madhya Pradesh,Summer,Agar Malwa,376
Shreenath Dhaam Temple,23.8442469,76.2459713,4.4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Madhya Pradesh,All Seasons,Agar Malwa,64
Shankar Mandir,23.604689,75.7208504,4.3,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Madhya Pradesh,All Seasons,Agar Malwa,21
Shri Ram Temple (श्री राम मंदिर ठिकाना धनोडिया),23.5097173,75.7833593,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Madhya Pradesh,All Seasons,Agar Malwa,14
Shree Bala Ki temple श्री बाला जी मंदिर,23.712638,75.99996449999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Madhya Pradesh,All Seasons,Agar Malwa,1
"Hatkeshwar mahadev temple,chandangaon",23.5992071,76.18809720000002,3.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Madhya Pradesh,All Seasons,Agar Malwa,4
Shree koteshwar mahadev mandir thi. Gundikalan,23.5868072,75.90496069999999,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Madhya Pradesh,All Seasons,Agar Malwa,11
