Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Kave Wood Park,19.091423,74.7607948,4.5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,41
Gautam Buddha Jogging Park,19.0911442,74.7688682,4.3,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,336
JoggingTrack,19.1184737,74.7372017,4.5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,586
"Saiban Krushi Paryatan Kendra, Ahilyanagar",19.1697879,74.6844417,4.1,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,486
SUNDER BAUG KRISHI PARYATAN KENDRA & REGIONAL PARK,19.3092211,74.655602,4.1,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,99
Yashwant Colony Park,19.0721893,74.7568161,3.8,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,39
FUN KI LAND,19.1289505,74.7247223,4.8,"amusement_park, parking, park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,874
Sambhaji Maharaj Garden,19.0642319,74.695773,4.3,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,84
Sona Park,19.1245112,74.7320525,3.6,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,128
Siddhi Baag,19.0997218,74.7331579,3.7,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1477
Yashoda Nagar,19.1280797,74.74138789999999,4.5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
श्री नागेश्वर मंगल कार्यालय & आनंदी लॉंन्स,19.1181278,74.553922,4.6,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,46
ANANDBAN Waterpark /Hurda Party | Adventure park | Ahmednagar,19.0551665,74.8137335,4.4,"amusement_park, park, restaurant, food, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,838
Shivsagar Mangalkaryalay,19.119393,74.9552412,3.6,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,11
Hatti park,19.025518,74.71759209999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Morya Park,19.3121758,74.7958781,4.3,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,3
Ganga Udyan,19.115546,74.73769829999999,4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1532
Ambika sanskrutik bhavan,19.1167777,74.77348429999999,4.3,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,68
Kapurwadi Lake,19.1206675,74.7834948,4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,41
KRISHNA PARK,19.1309004,74.72634149999999,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Under Construction park,19.1400985,74.7222578,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Joggers park,19.0746555,74.7202847,3.6,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,7
MahaLaxmi Garden,19.114869,74.7271435,3.9,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,716
Chinmay park,19.1327395,74.7395624,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Balaji colony sainagar park,19.073185,74.73491539999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Nana Nani Park,19.1515273,74.6722459,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Shiv Leela park B 105 Sanskriti lons javal tapovan road savedi A Nagar 414003,19.109947,74.73462719999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Ashtvinayak chauk,19.1376583,74.7132409,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Jogging park,19.1329951,74.7096518,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
KINDER PARK - BY JOY N I,18.9525362,74.6552794,3.8,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,6
O Park,19.0364439,74.59465639999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Ru,19.1469709,74.6809747,4.8,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,4
D.A.D. children park,19.0910884,74.7508787,4.2,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,5
Home Garden,19.127453,74.7451324,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
Mahadev Water Fountain,19.1004167,74.7332954,4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,7
AL Usmani Park,19.1053144,74.6317974,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Chatrapati Chauk,19.2417821,74.6736746,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Swwapnil's Land Kolgaon,18.8265179,74.6617733,3.8,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,4
Govind Palve,19.2064302,74.87442639999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Prashant Bhadke.... House 🏡,19.3100014,75.02604509999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Bhausaheb fulsoundar chowk,19.0728036,74.7339822,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,4
Matoshri Garden,19.1106875,74.7271887,3.9,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,119
Saiban Agro Tourism Centre Ahilyanagar,19.1671467,74.6831277,3.8,"park, travel_agency, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,233
महाराष्ट्र वन विभाग शिराळ,19.2516834,74.90451490000001,5,"zoo, park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
Mahalaxmi Hivare Forest,19.3289213,74.9930275,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Rahul Suryawanshi Farm,19.0549224,74.73316899999999,0,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,0
Shirsath Lawns शिरसाठ लॉन,19.132143,74.7478548,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
"Garden, MPKV, Rahuri",19.3519953,74.6448348,4.4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,5
Vishwratan.dr.babasaheb ambedkar chouk pimpla,18.9260718,74.9117626,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Gaikwad Farm 🌾🌳,19.0355581,74.79041579999999,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Kuldip Agase ( khandobachiwadi),19.1287051,75.0160549,4.5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,4
जठार वस्ती,19.3118211,74.6761054,4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
