Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
D.C Old Childrens Park,25.5095631,90.60388189999999,3.2,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,160
Baghmara Pitcher Plant Sanctuary,25.2003944,90.66271719999999,4,"tourist_attraction, park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,163
Nokrek National Park,25.447504,90.42859279999999,4.2,"tourist_attraction, park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,182
Balpakram National Park,25.2626037,90.8644002,4,"tourist_attraction, park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,227
Capt. William Park,25.5092594,90.6035847,0,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,0
Late Capt. Williamson Memorial Park,25.1977224,90.6440588,4.5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,6
Siju Bird Sanctuary,25.3418586,90.6830741,4.7,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,10
"Dachi Lake Resort, Anogre",25.73619,90.38508999999999,3.9,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,136
Liorus Puwein,25.5692612,90.8769063,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
P.R.M Rubber Garden,25.223195,90.49165169999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Songsak GHADC Forest Meghalaya,25.651215,90.60739099999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Majek city,25.6498757,90.80571379999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,5
Nengmandalgre Fish Sanctuary,25.5115733,90.5720467,4.5,"tourist_attraction, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,42
Dinem Garden ORAGITOK,25.550161,90.32811799999999,4.7,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,9
Panda Reserve,25.2170608,90.6786424,4.2,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,5
Botanical Garden Cum Children Park,25.2532535,90.63900439999999,2.8,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,5
Matcha Nokpante Nokrek National Park,25.455734,90.330479,4,"tourist_attraction, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,28
West BNP Boundary,25.2636492,90.81685230000001,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Easaybart Raksam's Home,25.2084634,90.7886777,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Nengmandalgre Eco-tourism park,25.5124685,90.5670554,1,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Sisobibra,25.5489997,90.5475757,4.1,"tourist_attraction, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,139
Rongru Asim Paddy field,25.2553831,90.698515,0,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,0
Orange Garden,25.2618881,90.69621029999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Chengrak D Shira,25.2937833,90.66713999999999,0,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,0
Wari Chora,25.3756689,90.539123,4.5,"tourist_attraction, park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,213
JK Garden,25.6363613,90.7579634,2.7,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,3
Wilban mi•sal cha•ram biap,25.2047619,90.63419859999999,0,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,0
Lalit badim,25.2504601,90.4899095,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
"The Viewing Deck, Daribokgre",25.4845631,90.3199336,4.3,"tourist_attraction, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,82
Naweram Falls,25.4074364,90.5701146,3,"tourist_attraction, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,2
Rongjeng kanchija,25.6367693,90.81802309999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Megapgre Village,25.2726583,90.4129918,4,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,2
Nepun sangma,25.5934316,90.57908929999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,2
Butterfly Sanctuary,25.2141212,90.656193,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Anogre_Rubber Plantation,25.7317552,90.3676497,4.5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,2
Ampanggre Junction,25.2194315,90.68673369999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Working Camp,25.3409556,90.90605049999999,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Camp Ora,25.5444172,90.3342145,5,"campground, park, lodging, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,3
Medi Daring,25.5161521,90.6417537,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Mari Apal mondoli Bagan,25.6604607,90.8853536,5,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Deoban Wari,25.2248099,90.8794963,4.4,"tourist_attraction, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,26
Zenjuan Arecanut field,25.5671692,90.52578229999999,4,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
AMASA R marak,25.321387,90.4203313,4,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,1
Bikinggri Bamboo reserve,25.361122,90.35782909999999,4,"park, point_of_interest, establishment",parks,Meghalaya,Spring,East Garo Hills,2
