Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Zemabawk Park,23.7272843,92.751055,4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,81
MZU Park,23.7337804,92.66750379999999,4.3,"park, tourist_attraction, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,784
YMA Park,23.7439063,92.7169436,4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,88
"Park Eden, Falkland",23.7327879,92.73784710000001,3.4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,190
Folkland Park,23.7284046,92.74105,4.2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,1601
Lalat Park,23.7216648,92.7260132,3.9,"park, tourist_attraction, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,907
"Lalsavunga Park, Hlimen",23.6716011,92.7202734,4.3,"park, tourist_attraction, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,606
"Lalsavunga Park – Gate, Hlimen",23.6732896,92.7177282,4.5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,35
DG Park,23.7285612,92.7397136,3.9,"park, tourist_attraction, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,261
Zodai Hangout,23.7677942,92.7429799,3.5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,16
Pu Rora Park,23.7090941,92.7339179,4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,24
Mualhawih Huan,23.7739404,92.65523619999999,4.2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,59
Muthi Park,23.783427,92.762551,4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,101
City park,23.7235366,92.7181463,4.1,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,20
Khawhlui/YMA Park,23.7949325,92.56293959999999,3.8,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,6
YMA Park,23.7043293,92.49071169999999,5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,1
Lalat Water Park,23.7222591,92.7260957,4.7,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,6
"Khuangthli Children Park, MZU",23.7332111,92.667085,4.2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,6
Durtlang View (Durkhawpui View),23.7930695,92.72672999999999,4.4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,46
Damdiai Botanical Garden & Eco Tourism Park,23.465785,92.74473599999999,3.8,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,12
Sakeikhawthlir (BETHEL TLANG),23.7751185,92.72356529999999,4.4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,12
Sawiremtlang,23.8207657,92.7339753,4.3,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,71
Joint YMA Park,23.6911677,92.9767793,4.5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,15
Sel-Lut Resort,23.7256875,92.74693750000002,3.3,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,21
Aizawl Lungdawh,23.7226648,92.71794539999999,4.2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,28
Maubuang Park,23.4874681,92.7079528,4.2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,5
Hangzo Natural Park & Campsite,23.7139764,92.6844979,3.9,"campground, park, lodging, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,51
Ruallung Park,23.6522025,92.9709116,4.1,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,7
"KVI Park, Saitual",23.7085608,92.9653718,4.3,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,8
Herse Children Park,23.7373517,92.66487990000002,4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,1
Keifang Centenary Park,23.6742986,92.9625659,4.7,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,3
"MSU Park, Maite",23.5278876,93.0020933,5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,2
Venghlun YMA Park,23.5976257,92.85125939999999,3.8,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,6
YMA Park,23.8057856,92.74230329999999,3.2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,5
LPS COMPLEX,23.7319902,92.7373291,4.3,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,13
Lengte YMA Park,23.7680568,92.60093839999999,3,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,3
"LAD Park, Mamit",23.9713173,92.4918148,2.5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,6
PHULDUNGSEI Joint YMA Park,23.5141367,92.4213669,5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,2
Park Tlang road,23.7010141,92.71798249999999,0,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,0
College's Auditorium Park,23.8040432,92.7341624,2,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,1
Chaltlang Ruam Veng Hmâwng,23.7515642,92.7230862,4,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,21
Martyr Memorial,23.7415625,92.7388331,5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,1
Gilgal picnic spot,23.9020703,92.7353751,5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,2
Lungleng YMA Park,23.6697154,92.6636535,0,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,0
Park,23.7595058,92.85234319999999,0,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,0
Bethlehem Bung,23.7269187,92.7220016,5,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,1
F.Hruaii Lalduhsaki Park,23.7175588,92.7115742,0,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,0
AMC Park,23.7306526,92.6981124,0,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,0
Pi Hluteii Park leh Huan,23.7569875,92.73610939999999,0,"park, point_of_interest, establishment",parks,Mizoram,Spring,Aizawl,0
