Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Recreation Park & Medicinal Plants Garden,25.9033921,93.4396514,4.3,"park, tourist_attraction, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,548
Ha'I Long Park,25.8418909,93.4383864,4.7,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,9
Primary Park,25.9233939,93.702519,3.9,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,20
Tribal Park,25.903822,93.711867,4.2,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,20
Children Park,25.9126522,93.71356759999999,3.6,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,266
HAYIRO,25.924717,93.7401273,4.4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,194
Khorsing Terang Memorial Park,25.8456694,93.4380226,4.1,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,17
Lt. Semson Sing Ingti Memorial Park,25.8430098,93.43668989999999,3.8,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,57
Children Park,25.9077337,93.71112819999999,3.7,"park, tourist_attraction, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,428
Appu Park,25.7986566,93.7751747,3.4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,127
Dillai Park,25.9655955,93.5838448,3.8,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,36
Stone Garden NEZCC,25.8758333,93.77444440000001,3.9,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,663
Rengma Church Park,25.9193017,93.69752799999999,3.7,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,16
Diphu river walking zone,25.8420209,93.43822150000001,4.1,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,23
Jordan Park,25.9203674,93.692178,4.1,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,30
INNER WHEEL PARK,25.9086867,93.71582169999999,3.2,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,6
Khorsing Terang Memorial Children Park,25.8464523,93.4337596,3.9,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,135
Sikhakie Park,25.6264784,94.0022283,4.5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,13
PHUTOI FARM VISHO GHAZU,25.9040326,93.97150099999999,4.8,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,14
Life Spring Corner,25.9212838,93.7232471,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,191
JP Park & Banquets,25.8651016,93.7910967,4.6,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,57
Sachu Community Park,25.903164,93.71588,3.7,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,54
Sheela Park,25.9132489,93.7511269,4.3,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,6
Niathu Children Park,25.8231487,93.7811667,4.3,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,10
Newly Constructed Park,25.6248814,93.6588627,3.5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,15
"Lakeview, H.K.Khulu road, Jorepukhri",25.9129874,93.750852,4.6,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,8
Kachari Sports Complex,25.927317,93.75011699999999,3.3,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,58
Phevima Eco Park,25.8989486,93.6973953,4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,25
Children Park,26.0198606,93.78528299999999,4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,119
Children's Park,25.9069457,93.71509379999999,3.7,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,10
Patkai Viewpoint,25.7940595,93.79252249999999,4.1,"campground, lodging, park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,46
Jubilee Park,25.9060098,93.7384871,4.2,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,5
Recreation Park Diphu,25.9007208,93.44029549999999,4.1,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,8
Pelke Sovima,25.8441947,93.7347893,4.5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,10
Children park,25.8797072,93.7678341,4.1,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,12
CoCo- A site for Picnic and Camping,25.7671452,93.6216532,4.3,"campground, lodging, park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,21
Park,25.8388287,93.4377434,4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
G. K Park,25.6578577,93.6923508,0,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,0
Lilen jubilee park,25.6431963,93.60313939999999,5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
Local Park,25.9214162,93.6909781,3.9,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,8
The waterfront,25.8862607,93.7816177,4.5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,13
Raja pukhuri,26.0536492,93.9054546,5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
Ramaogreen Park Dhansiri,25.8217052,93.59393539999999,5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
Matipung Park Diphu,25.845946,93.4460314,4.3,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,954
Triple Falls Seithekema,25.8063018,93.816648,4,"tourist_attraction, park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,136
Lovers point Dimapur,25.9084086,93.7213125,3.3,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,3
pelke,25.8409513,93.7634308,3.6,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,14
Children Park,26.0736,93.7783501,4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,8
MOLBEM VILLAGE,26.0397585,93.5972493,5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
Intanki National Park Protection Camp,25.6933693,93.53243409999999,3.9,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,15
Lotha Park,25.902506,93.711969,3.7,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,26
Arboretum Auditorium centre,25.8453199,93.4466939,3.8,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,4
Stabbin's home,25.8537943,93.4610211,0,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,0
NTJ Plantation,25.7951477,93.75643939999999,4,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
T. L. Angami Park,25.7719941,93.8054765,3.5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,103
Friendship Park,25.9043436,93.7033699,0,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,0
Golden jubilee park,25.95009,93.7920015,0,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,0
"Betoni Jan, Assam",26.1282809,93.8782576,3,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,1
Homeland,25.9696783,93.8809486,5,"park, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,2
Green Park,25.8606135,93.76207010000002,3.7,"park, tourist_attraction, point_of_interest, establishment",parks,Nagaland,Spring,Chümoukedima,3296
Chumpo Museum,25.8409526,93.76343519999999,4.7,"museum, point_of_interest, establishment",museum,Nagaland,Winter,Chümoukedima,12
