Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Shishu Udyan,20.832633,85.100056,4.1,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,125
Utkalamani Gopabandhu Park,20.8558807,85.15975949999999,4.3,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,1106
Utkal Gouraba Madhusudan Park,20.8591446,85.16178959999999,4.2,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,436
"Gopabandhu Park, Angul",20.835877,85.094802,3.9,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,211
Park,20.9267125,85.1570156,4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,313
Dr. Ambedkar Park,20.8479094,85.1545787,4.3,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,967
Tikarpada Wildlife Sanctuary,20.6851779,84.9001201,4.3,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,5334
"Tamrit Colony Park, Angul",20.8358255,85.1049201,3.8,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,279
"Dr. B R Ambedkar Children Park, Jagannath Colony",20.9249875,85.1467969,3.8,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,186
JSP,20.9091514,85.0107637,4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,137
Amlapada Park,20.8434147,85.0986057,3.7,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,430
Bijay Park,20.8502722,85.1600885,3.9,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,157
Netaji Subhas Chandra Bose Central Park,21.098845,85.0936133,4.4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,122
Gotamara Park,20.853446,85.213202,3.9,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,91
Eco Park,20.8492279,85.0974279,4.2,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,3783
Suchandan Park,20.8716028,85.16795220000002,4.1,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,25
Childrens' Park,20.8570062,85.09854159999999,4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,42
Mahatma Gandhi Park,20.835533,85.09382200000002,3.9,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,31
Kunjabana Park,20.845059,85.14770399999999,4.2,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,61
Jagannath Park,20.9554432,85.23883219999999,4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,217
"Neelakantheswar Park, Ranigoda",20.8550554,85.1090389,3.9,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,79
Park,20.9100681,85.008754,4.8,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,4
Shaktikhetra park,21.0738222,84.9454502,4.3,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,8
P.T.C Head Command Park,20.843334,85.108362,3.5,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,31
PATARAPADA ROYAL PARK,20.8522824,85.33472929999999,3.8,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,30
Maharshi Bana Park,20.847711,85.121967,4.6,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,7
Grawhwaram Park,20.9371073,85.2199079,5,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,2
PUSPA PARK,20.7679991,85.0735103,4.8,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,6
Panchamukhi Sishu Udyan (Childrens Park),20.8442842,85.1023058,3.1,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,14
Pandua Park,20.8053244,85.14061579999999,5,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,6
D-block Park,20.9100493,85.0066961,3.9,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,66
Rotary Park,20.833484,85.097872,3.1,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,9
"Biju Udyan, hemsurpada, angul",20.8442504,85.09411,4.4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,20
IGIT New Park,20.9351125,85.26229690000001,4.4,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,5
Panchtatva Park,20.8396418,85.1043516,4.1,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,77
Netaji park or Municipality park Similipada,20.848099,85.1018442,4.3,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,15
bighneswar park,20.857208,85.0618903,4.1,"park, point_of_interest, establishment",parks,Odisha,Spring,Angul,98
