Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
"Greenland Water Park Ajmer, Rajasthan",26.3867794,74.6589482,4,"amusement_park, tourist_attraction, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,1109
Subhash Udhyan,26.4688146,74.6319542,4.4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,2853
"Seven Wonders Park, Ajmer",26.4865366,74.6180748,4.3,"tourist_attraction, amusement_park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,5763
Chhatri Yojna Park,26.4899239,74.633242,3.8,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,296
Panchsheel Park,26.5126722,74.6322381,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,176
ADARSH NAGAR COMMUNITY PARK,26.4229754,74.6539238,4.2,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,790
"Gandhi Nagar Park,Ajmer",26.4534159,74.6690019,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,343
Azad Park,26.4688526,74.63848569999999,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,833
R K Colony Park,26.5822638,74.8655672,3.8,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,242
Madhuban Children Park,26.4511976,74.66550699999999,4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,129
Madhuban Park,26.4211478,74.6235809,4.3,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,55
Park,26.4879698,74.6489179,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,467
A Block Park,26.4181283,74.6210789,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,284
Sarvjanik Park,26.4531163,74.6560787,4.6,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,17
Pushkar Deer Park,26.4854581,74.5745355,4.6,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,14
Anasagar Chaupati Garden,26.4752441,74.6330284,4.4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,6951
Ahinsa Park,26.5079058,74.6338237,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,58
Indra Colony Park,26.5865699,74.87229820000002,3.9,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,181
Shaheed Bhagat Singh Udhyan,26.4641195,74.6059515,4.7,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,21
MD colony Park 2nd,26.4544434,74.6700141,4.5,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,35
"Park No ,4",26.4880403,74.6494352,4.3,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,89
Sarveshwar Nagar Park-A,26.4825892,74.6490414,3.7,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,91
Siddhi Vinayak Colony Park,26.5571087,74.8313835,4.2,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,99
C-Block Park,26.4200863,74.6271873,3.9,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,200
Public Park,26.4601023,74.67837109999999,4.3,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,46
Foy Sagar Nagar Nigam Park,26.4471457,74.5830422,4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,245
Jai SiyaRam PARK,26.5672237,74.8317278,4.2,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,88
Shiv Lok Park,26.5799862,74.8543452,3.7,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,149
"Vinayak Nagar C Park, Kishangarh",26.5858114,74.8678558,4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,17
Gadhi Thoriyan Housing Board Park,26.0968912,74.3344602,3.9,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,69
Gaddi Thoriyan Housing Board Colony Park and Mandir,26.0977134,74.33899559999999,4.4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,53
Colony park,26.4750811,74.64166190000002,4.7,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,3
Radha Krishna Vihar Park,26.5912525,74.8687406,3.7,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,22
Crown park,26.0986628,74.3279534,3.4,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,42
Ganesh Guadi Park,26.5154503,74.639684,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,23
Mahaveer Park,26.5859156,74.8607124,4.1,"park, point_of_interest, establishment",parks,Rajasthan,Spring,Ajmer,37
