Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Green Park,27.1321892,88.2803624,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,508
Sidekeong Tulku Bird Park,27.3027501,88.2527604,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,1397
Delo Park,27.0891412,88.5032992,4.5,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,10001
Bhanu Park,27.2325991,88.49706309999999,4.1,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,212
7th Mile Park ৭ মাইল পার্ক,27.066463,88.4524351,3.9,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,108
Namthang Bazaar Park,27.164337,88.476452,3.9,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,289
Kanchendzonga national park,27.3420236,88.6213265,4.5,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,452
Kalimpong P.W.D. Children Park,27.0606527,88.46724999999999,3.6,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,269
Ban Jhakri Falls Park,27.3507643,88.6032316,4.4,"tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,11866
LAVA PINE PARK,27.0852025,88.6550824,4.6,"tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,70
Mirik Lake,26.88981,88.1827471,4.4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,112
Nightingale Park Water Falls,27.0533582,88.2605658,3.9,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,34
Gargworld,27.0173649,88.25012919999999,5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,22
Neora Valley National Park,27.0824496,88.7006888,4.5,"tourist_attraction, park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,3274
MIRIK PARK,26.8895313,88.1840821,4.3,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,799
Namchi Rock Garden,27.1807085,88.37522299999999,4,"tourist_attraction, park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,608
Sidkeong Bird Park,27.3027587,88.2527065,4.2,"tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,116
KITCHUDUMRA BIODIVERSITY PARK,27.1896483,88.3298847,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,19
Dowhill Eco Park,26.8873703,88.2905129,4.4,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,1801
"Chorten, Dhotrey",27.0507101,88.1077411,4.7,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,16
Bankim Chandra Park,27.0593354,88.46647279999999,4.2,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,40
Children's Park,27.3350495,88.6121462,4.2,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,211
Chogyal Memorial Park,27.3316164,88.6162222,4.3,"park, tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,39
Park RightBank,27.2500442,88.45668909999999,3.9,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,17
Park,27.3376134,88.6187891,4.6,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,5
Bhanu Park,27.1747323,88.6447271,5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,1
Nightingale Park Bulet Proof Dias,27.0536846,88.2605736,4.5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,8
"Culture Park, Sikkim",27.306741,88.4137952,3.8,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,25
Temi Biodiversity Park,27.228047,88.41074499999999,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,36
Biodiversity Park,27.3118991,88.3643403,5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,2
Community Park,26.8889871,88.18465909999999,4.3,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,21
"Gangamaya Park, Darjeeling, WB",27.0321928,88.226053,4.3,"tourist_attraction, park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,781
Children Park,27.1653176,88.3646313,3.4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,39
Eco Nature park,27.2426901,88.77014349999999,4.5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,71
Kitam Bird Sanctuary,27.1080194,88.35064679999999,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,786
Sipchu Shaheed Balidan Park,26.9369657,88.8577585,3.4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,12
Linga natural Park,27.2504639,88.4593743,4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,5
Park,27.2609045,88.56189189999999,3.9,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,54
Wellness Park Gangtok,27.3311437,88.614746,4.1,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,21
Himali Park Jhora,27.1591539,88.5848736,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,9
Gulmohar Picnic Spot,27.1865503,88.5541884,4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,86
Respite eco park and riverside camping,27.0498628,88.4088788,5,"tourist_attraction, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,34
Eaglezone Park,27.0443973,88.1532438,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,17
Lolegaon Park,27.0193655,88.5660443,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,86
Bazar Park,27.2030898,88.7010464,5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,2
Trikon Park,27.0668333,88.4706101,3.3,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,9
Biodiversity Conservation Park Ghoom,27.0087465,88.2385809,4.6,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,67
Children Park,27.0388712,88.26452189999999,3.7,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,6
G.S park,27.0660492,88.2790946,5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,1
Mangalbarey Mini Park,27.1914162,88.2848142,4.4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,14
Saramsa Garden,27.277125,88.59487329999999,4.1,"tourist_attraction, park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,1531
Sahid Palendra Park,27.162899,88.6171971,4.1,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,14
Jurassic Park Sikkim Tourism,27.3660508,88.48483139999999,3.8,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,40
Jhakri park,27.3738369,88.76054889999999,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,9
JAIDEEP PARK,27.1793125,88.6304531,4.4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,7
Amrit Mahatsov Green Park,27.2440625,88.5243125,4.2,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,13
"Ravangla, Sikkim",27.3056027,88.3657602,4.7,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,471
Vivekananda Yuwa Aagaman Sthal,27.0742539,88.47632019999999,4.1,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,20
Mahatma Gandhi Botanical Park,27.1661511,88.3600572,3.5,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,49
Mim Nagri Park,26.9908651,88.1535352,4.4,"park, point_of_interest, establishment",parks,Sikkim,Spring,East Sikkim,5
Black Cat Museum,27.3175777,88.6023692,4.8,"museum, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,1336
Bengal Natural History Museum,27.0577428,88.25465469999999,4.4,"tourist_attraction, museum, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,1068
Himalayan Tibet Museum,27.0396275,88.2658869,4.5,"museum, tourist_attraction, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,459
Kalimpong Science Centre,27.0874891,88.510266,4.4,"tourist_attraction, museum, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,2102
Deshbandhu Museum,27.046736,88.2687973,3.6,"museum, tourist_attraction, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,28
Lepcha Museum,27.0632986,88.47238109999999,4.4,"museum, tourist_attraction, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,135
kirat Mangkhim किरात माङ्खिम,26.9176039,88.1047693,4.2,"museum, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,5
HMI MUSEUM,27.0583904,88.2539755,4.6,"museum, tourist_attraction, point_of_interest, establishment",museum,Sikkim,Winter,East Sikkim,519
