Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
B Sector Park,10.7764474,78.790917,4,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,155
Peoples Park,10.8042814,78.6675305,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,664
Silver Jubliee Park 1,10.7758178,78.79268739999999,4.2,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,99
Elephant Park,10.7847657,78.7195278,3.9,"park, tourist_attraction, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,258
TCC Public Park,10.8158064,78.688226,4.3,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,199
Prasanthi Nagar Park,10.9570412,79.4084823,4,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,7
Senthilnathan nagar park,10.9659663,79.40046020000001,4.2,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,21
Manjathidal Kids park,10.7963769,78.74640219999999,3.7,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,19
சாந்தி நகர் பூங்கா Shanthi Nagar park,10.8825427,78.8213414,4.7,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,3
North Periyar Nagar (NEW) Park,11.5203595,79.3369542,4.7,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,27
Students road side park,10.8115674,78.68346910000001,4.6,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,16
Kids Park and Open Air Gym,10.8052878,78.759667,4.2,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,19
Namma Trichy Park,10.8082043,78.6776843,4.5,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,130
Gandhi Park,11.2127991,79.36471499999999,3.7,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,210
Rail Nagar Children's Park.,10.7713304,79.110672,4.1,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,44
Bharathi park,10.8127974,78.6723963,4.1,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,24
Anbil Nagar Park,10.7505854,78.69628809999999,4.3,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,15
Kallanai Children Park,10.8326424,78.81970729999999,4.3,"park, point_of_interest, establishment",parks,Tamil Nadu,Spring,Ariyalur,38
