Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Municipal Park,19.6678253,78.5312119,3.7,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,111
Mavala Park,19.6227613,78.50623379999999,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,586
Village park Karanji (T),19.8563917,78.3150667,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,15
Dwarka Nagar chota park,19.6673625,78.53104019999999,4.4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,8
Science Park,19.6658477,78.5316112,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,4
Spot,19.646174,78.55234500000002,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,3
Rims Park,19.6639328,78.52343479999999,3.8,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,77
Tipeshwar Wildlife Sanctuary,19.9161911,78.44108969999999,4.3,"tourist_attraction, park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,869
I love adilabad,19.6608735,78.5374578,4.2,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,143
Gandhi Park,19.6612435,78.534684,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,219
Green valley park,19.6352524,78.4977309,3.9,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,23
Ratna Garden,19.6402089,78.5116281,3.9,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,232
"Sunna Gate, Tipeshwar Wild Life Sanctuary",19.9155401,78.5201129,4.4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,159
Jeet's farm,19.7866902,78.289807,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Old housing board park,19.6648487,78.5331957,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,4
Village park (గుభీడిపల్లే),19.7378876,78.40578909999999,4.2,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,5
COLONY PARK,19.6584363,78.5131844,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
VNR GARDEN,19.6999375,78.5438125,4.2,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,13
Mithila park,19.664008,78.5327397,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Small Moni park,19.66742,78.53076829999999,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Tamsi k park 🏞️🌄,19.8142035,78.4615925,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
Tirumala Classic Gardens,19.6307895,78.5079648,4.1,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,745
Village natural park,19.4457961,78.4574488,4.1,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,23
Rickshaw Colony Ground Park,19.665346,78.5217728,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
"Park,Bhuktapur",19.6738784,78.5329225,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,2
Park,19.5187044,78.6290119,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Navi mini park,19.528392,78.5635362,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,3
Harkapur Grama Panchayathi Village Park,19.4795175,78.64838689999999,4.9,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,9
Siddharth park,19.4288907,78.4435737,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,2
Khan,19.5139102,78.5068781,4.7,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,3
Khandala Camping,19.5835437,78.66473289999999,4.5,"campground, park, lodging, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,10
Revenue Garden,19.663356,78.5293092,3.8,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,236
సిరికొండ నర్సరీ,19.4275545,78.5800355,4.4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,9
Tosham Tanda G.P Mini Park,19.5193346,78.5656716,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,2
Munde.saikiran,19.5019637,78.62864549999999,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,2
Green valley park 2,19.6358183,78.4958225,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
Janakonda ashanna,19.4146195,78.3054339,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Durga mandapam,19.7326934,78.59706609999999,3.7,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,3
Park,19.4276033,78.4553013,3,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Tosham GP golden park,19.5286293,78.5664061,3,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,2
Haritha Vanam Mini Park,19.613326,78.4541007,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
Indranagar village park,19.853864,78.31824499999999,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
Chaprala village park,19.6999494,78.8155398,2,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Devkate Farm House Takiguda,19.5356498,78.5808579,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
NAKLE FARM'S,19.7363943,78.7763155,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
"Palle prakruthi vanam, khara",19.6241903,78.6997937,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
Gulab singh Film city,19.5569243,78.4830307,4.2,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,23
Abhinay sandal war,19.7153931,78.73911869999999,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
"Village Park, Palli K",19.5831624,78.4246708,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
Syed Saif Shah Sagar,19.6772074,78.5426602,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
Mandaguda Palle Prakruthi Vanam,19.764752,78.3809327,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
KCB garden,19.6496907,78.51495469999999,4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,181
Pulikahchar water falls,19.5503243,78.5688061,4.4,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,5
Sumit madavi farm,19.831177,78.5113142,5,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,4
WMKs Farm,19.68163,78.42090069999999,0,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,0
"పల్లె ప్రకృతి వనం,సిరికొండ",19.4345058,78.5646067,1,"park, point_of_interest, establishment",parks,Telangana,Spring,Adilabad,1
