Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Kumarghat Nagar van city park Smriti van,24.1813648,92.03765709999999,5,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,1
BARAMURA ECO PARK,23.8187371,91.5832765,4.2,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,87
"Subhash Park, Khowai",24.0712799,91.6034742,4,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,271
KUMARGHAT NAGAR VAN CITY PARK MAIN GATE,24.1788467,92.03222170000001,4.5,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,6
Barabil Children Park,24.0705657,91.62167029999999,5,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,1
Kamalpur Town Hall Park,24.1875392,91.82538369999999,3.9,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,16
"Eco Park,",24.1601711,92.0322266,3.9,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,19
Children Park Kamalpur,24.18736,91.8260244,5,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,1
KGHHS Garden,24.068219,91.6075267,4.2,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,6
"Eco Park, Manughat, Dhalai Tripura",23.9972939,91.9905996,4,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,15
Gonjaran Sishu Udyan A Children's park,24.0815382,91.6130014,5,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,2
Totabari Park,23.9072793,91.61919019999999,3.3,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,16
Dasharath Deb Memorial Park,23.9990302,91.5760737,4,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,4
Children Park,24.1391346,91.81498979999999,3.8,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,33
দীনেশ দেববর্মা পার্ক /Dinesh Debbarma Park,24.0403525,91.83321380000001,3.5,"park, point_of_interest, establishment",parks,Tripura,Spring,Dhalai,4
