Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Shaheed Park,27.1655465,77.9808635,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,216
Balkeshwar Park,27.2128051,78.02968539999999,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,4006
Paliwal Park,27.2003932,78.0142134,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,5464
Swami Vivekanand Park,27.2128402,77.9940294,4.1,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,291
Yamuna View Park,27.1870308,78.02435480000001,4.1,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,470
D-Block Park,27.1892051,77.98093519999999,3.7,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,137
Maa Jagdamba Park,27.2056495,77.9350671,3.8,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,144
Ekta Park,27.1546911,78.0353002,3.8,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,77
Jaipur House Park,27.1875785,77.98755050000001,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,590
Dayal Park,27.2286526,78.0054007,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,177
Gill Park,27.1529776,78.02205219999999,4.6,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,53
Lajpat Kunj Park,27.2029183,77.9966962,4.1,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,95
Ram Leela Park,27.1587716,78.0249473,4.4,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,474
Ambedkar Park,27.1744363,77.9610827,4.1,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,121
A-one park,27.1559232,78.0361911,4.2,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,64
Subhash park,27.2003947,78.0140411,4.6,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,20
Nehru enclave Park,27.1446023,78.04616519999999,4.2,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,386
"Central Park, Soor Vatika",27.1961935,77.9586956,4,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,1613
Krishna Bagh Park,27.2237257,78.0043154,3.7,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,23
Shastripuram Zonal Park,27.2078456,77.9368401,4.2,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,456
Laxman Nagar Park,27.1680628,77.9833671,3.4,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,124
Narasi Park,27.1811473,77.9210432,4.2,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,167
Sector 16 Mandir Park,27.209687,77.9555695,4.4,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,50
Hanuman Park,27.2086957,78.0273334,4.3,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,104
Company Park,27.1594323,78.0178506,4.1,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,249
Park,27.1591611,78.0378363,4.2,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,38
Triveni Nagar Park,27.2275454,78.0185106,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,69
Bajrang Nagar Park Anand Marg,27.2115928,77.9563543,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,44
Phool Vatika park,27.2139222,78.0172168,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,66
Paschimpuri Park,27.2024399,77.9445428,3.7,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,258
Ambedkar park,27.1879719,78.0377793,4.4,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,42
Dr. Babasaheb Ambedkar Park,27.1450964,77.97695920000001,3.9,"park, point_of_interest, establishment",parks,Uttar Pradesh,Spring,Agra,109
