Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Sal Bagan Park,26.3356591,89.4618778,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,58
Maharaja N N Park,26.3257964,89.4506122,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,2780
Gol Park,26.5320592,89.5376562,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,274
"The Maharaja Narendra Narayan Park Kids Playground - Cooch Behar District, West Bengal, India",26.3255127,89.4502823,4.3,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,207
Cooch Behar Rajbari Park,26.328146,89.4386978,4.3,"park, tourist_attraction, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,5301
Tekonia Eco-Park,26.3150487,89.24992429999999,3.8,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,217
Alipurduar Park,26.4776318,89.5254351,3.8,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,469
Ticket Counter of Maharaja Narendra Narayan Park,26.3262471,89.4500047,4.3,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,6
Bakshirhat Children's Park,26.336965,89.76930449999999,3.8,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,141
Suktabari Children's park 2,26.3090154,89.4295471,3.4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,14
Poro Eco Park entry gate,26.5498647,89.46102119999999,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,175
Takoamari Park,26.4175097,89.74863429999999,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,133
Kunjanagar Eco Park,26.5561952,89.2498334,3.4,"tourist_attraction, park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,416
Milon Mela Relaxing Place For Oldages,26.4996513,89.5309802,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,168
Eco Park More,26.5543697,89.2359127,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,6
PALIKA CHILDREN PARK,26.3688965,89.7522443,3.7,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,19
Bochamari Eco Park,26.417783,89.7165418,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,146
Bochamari Park,26.4213747,89.7206245,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,101
Tufanganj Park,26.3294159,89.66824629999999,4.5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,38
Arjan Area Children's Park,26.6942093,89.3438958,3.7,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,24
Shalbari Eko Park,26.3703143,89.68504159999999,3.8,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,5
Madan Mohan park,26.3172164,89.671307,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,58
Tamaltala park,26.364985,89.5815533,5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,1
"Green park, Raichenga, Falakata",26.5157181,89.2535764,4.5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,6
Buxa Tiger Reserve,26.6170366,89.52826069999999,4.4,"tourist_attraction, park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,5548
Rasik Bill Bird Sanctuary,26.4200806,89.72680799999999,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,96
Sikia Jhora,26.5525359,89.5692268,3.9,"tourist_attraction, park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,1153
Nagururhat Forest,26.399463,89.69538829999999,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,56
Tapurhat Children Park,26.2929456,89.43115399999999,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,43
N.N PARK,26.3134252,89.66485089999999,4.1,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,57
Bhanu-Rabindra Park,26.695808,89.28225599999999,3.7,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,195
Rajmata Children Park,26.3288032,89.4448954,4.1,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,29
Birsha Munda Park,26.7276473,89.36949609999999,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,289
Children's Park Katre Vihar Area,26.6841892,89.3382622,4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,2
Buxa Forest,26.5919792,89.5260416,4.5,"tourist_attraction, park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,281
Raj Mata Traingle Park,26.3303312,89.4445293,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,115
Gol Park,26.5376669,89.5333489,4.4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,24
"I DOOARS, M. G. PARK, Mechpara T. G. 8 No. Kalchini WB",26.6924762,89.448634,5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,4
NN Park Pond,26.3252765,89.44937569999999,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,22
Kunjanagar Park,26.5530823,89.2419658,3.8,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,26
Rabindra Shishu Udyan,26.4973061,89.5275788,4.1,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,395
Panchanan Park,26.3171987,89.4469282,4.1,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,21
Poro Eco Park,26.5489392,89.45734279999999,4,"park, tourist_attraction, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,564
Trikon Park 🌳,26.5342879,89.534905,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,119
Tufanganj Children's Park,26.3133147,89.6648641,3.7,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,310
Jaldapara Head Quarter,26.6332657,89.3062949,4.5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,51
Dima bridge view point and park,26.6374306,89.5038778,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,23
Choto Gol Park,26.5334501,89.538309,4.4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,15
"park selfie,restruant",26.6799882,89.26810189999999,5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,10
Rasikbil Watch Tower,26.4199758,89.72627589999999,4.1,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,77
Kendriya Vidyalaya Hasimara Children Park,26.6800153,89.3461784,4.7,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,10
Matiarkuthi park,26.3402398,89.2525203,4.6,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,9
BSF sector HQ park,26.371715,89.45786489999999,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,10
Anupam garden and park,26.5027454,89.4459579,5,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,1
Chhatbhareya Park,26.3289889,89.7209276,3.8,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,13
Jaldapara National Park,26.6905136,89.2805351,4.4,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,3686
Biodiversity Park,26.7076376,89.2487688,4.2,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,25
Horin Chowra Rail-Crossing,26.2919602,89.4548243,3.9,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,131
Barobisha battala Salbagan,26.4643398,89.8079743,4.6,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,42
Lafabari Park,26.4796011,89.2706695,3.6,"park, point_of_interest, establishment",parks,West Bengal,Spring,Alipurduar,16
Buxa Museum,26.7569159,89.5820407,4.3,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,13
Railway Museum Coochbehar,26.3180939,89.4556805,4.3,"museum, tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,133
Buxa tiger reserve sanctuary museum,26.6150467,89.53366590000002,4.4,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,16
Rajabhat Khawa Wildlife Sanctury,26.6152665,89.53428749999999,4.5,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,69
Archeological Gallery,26.3273563,89.4383833,3.7,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,6
Royal CoochBehar,26.3358409,89.443062,4.2,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,5
Marine Museum,26.3357761,89.44786719999999,4.7,"pet_store, store, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,30
Buxa Fort,26.7550637,89.5803449,4.4,"tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,1336
Rajabhatkhawa Butterfly Conservatory,26.6166089,89.5274177,4.5,"tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,26
Punjabi Museum,26.3231114,89.444773,4.9,"shopping_mall, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,7
Rajesh Ghosh Baioflog center,26.4052571,89.45257989999999,5,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,2
Cooch Behar,26.3452397,89.4482079,0,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,0
Lepchakha - Little Bhutan In India,26.7522617,89.59112329999999,4.6,"tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,793
Bapi islam (house),26.2918865,89.4896088,0,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,0
Coochbehar Rajbari,26.326987,89.4389127,4.4,"tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,183
DOOARS TOURISM,26.6169467,89.52654260000001,4.7,"tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,55
Bochamari Zoo,26.4185265,89.7201021,3.9,"zoo, tourist_attraction, museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,439
Dooars Sanghralaya Museum,26.694042,89.4466674,0,"point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,0
Coochbehar Royal Palace,26.3270303,89.4387284,4.4,"point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,8859
শিব মন্দির কাঁটামারি,26.2793142,89.3292553,0,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,0
Cooch Behar Rajbari Park,26.328146,89.4386978,4.3,"park, tourist_attraction, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,5301
Buxa Tiger Reserve,26.6170366,89.52826069999999,4.4,"tourist_attraction, park, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,5548
Golakata Masjid,26.5908822,89.2446078,4,"mosque, museum, place_of_worship, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,11
Cooch Behar,26.3186608,89.45605739999999,4.2,"train_station, transit_station, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,189
ADHUNIKA BLOUSE MUSEUM,26.5280193,89.5365326,5,"clothing_store, store, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,4
Blouse Museum,26.3255069,89.4712426,0,"clothing_store, store, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,0
Nature Interpretation Centre,26.6138935,89.53247720000002,5,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,1
"Nature Interpretation Centre, BTR",26.6150665,89.5337505,4,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,2
Divine graveyard of pipeline,26.5174568,89.6529034,3,"museum, point_of_interest, establishment",museum,West Bengal,Winter,Alipurduar,2
Jayanti waterfall,26.7190227,89.6715645,4.6,"point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,14
Jaldapara torsa waterfall,26.5994763,89.27676009999999,5,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,2
Jayanti Waterfall,26.7014783,89.68483499999999,5,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,4
Jayanti Stream,26.7166636,89.608325,4.5,"park, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,38
Sikia Jhora,26.5525359,89.5692268,3.9,"tourist_attraction, park, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,1153
Buxa Forest,26.5919792,89.5260416,4.5,"tourist_attraction, park, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,281
Jayanti Picnic Spot,26.6999786,89.68504430000002,4.2,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,247
Jayanti Riverbed,26.702119,89.6138484,4.6,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,418
Gandho River Bank,26.7162804,89.71644859999999,4.6,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,8
Buxa Fort,26.7550637,89.5803449,4.4,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,1336
Yo Yo Hill View Point,26.7031074,89.6827436,4,"point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,6
Jayanti Tea Garden View Point,26.691919,89.7166421,4.5,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,19
Phaskhawa Picnic Spot and River Bed,26.6788658,89.6660563,4,"point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,47
Phaskhawa Picnic Spot,26.7003902,89.68506640000001,4.1,"point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,94
Jayanti,26.704121,89.61016140000001,4.6,"park, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,17
Jayanti Riverside & Tourist Site,26.696296,89.70512029999999,4.4,"tourist_attraction, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,5
Jayanti 2nd temple,26.7097362,89.6760334,4.2,"hindu_temple, place_of_worship, point_of_interest, establishment",waterfalls,West Bengal,Monsoon,Alipurduar,5
Raidhak River Beach 🏖️,26.3629052,89.6557551,0,"tourist_attraction, point_of_interest, establishment",beaches,West Bengal,Summer,Alipurduar,0
Dima Beech Line,26.6804922,89.4627941,4.3,"school, point_of_interest, establishment",beaches,West Bengal,Summer,Alipurduar,3
Beech Tea Garden,26.7628893,89.3487791,No rating,"locality, political",beaches,West Bengal,Summer,Alipurduar,0
Siyaram's Shop,26.3225968,89.4430962,3.8,"shopping_mall, point_of_interest, establishment",beaches,West Bengal,Summer,Alipurduar,50
Bombay Dyeing,26.5032168,89.5291295,3.9,"home_goods_store, clothing_store, store, point_of_interest, establishment",beaches,West Bengal,Summer,Alipurduar,8
Dima Tea Garden,26.6837542,89.45058019999999,No rating,"locality, political",beaches,West Bengal,Summer,Alipurduar,0
Bochamari Zoo,26.4185265,89.7201021,3.9,"zoo, tourist_attraction, museum, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,439
Bochamari Mini Zoo Tiger Reserve,26.4219271,89.7255356,4.1,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,42
Rasikbeel Mini Zoo,26.4194005,89.7213154,4.3,"tourist_attraction, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,33
Rasikbeel Mini zoo Deer zone,26.4204702,89.7226129,4.5,"zoo, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,6
Bochamari Eco Park,26.417783,89.7165418,4,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,146
Bochamari Park,26.4213747,89.7206245,3.9,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,101
Alipurduar Park,26.4776318,89.5254351,3.8,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,469
Rasik Bill Bird Sanctuary,26.4200806,89.72680799999999,4,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,96
"Macaw, Golden Pheasant and Peacock Zone",26.4194606,89.7206241,0,"zoo, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,0
Chilepata,26.6799882,89.26810189999999,2.5,"zoo, park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,2
Ashish House,26.4951841,89.4010825,0,"zoo, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,0
Wildlife Inspection Camp,26.6172671,89.5328651,4.3,"zoo, park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,4
Buxa & Jayanti Beat ..,26.6311008,89.5686271,4.3,"zoo, park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,56
Tekonia Eco-Park,26.3150487,89.24992429999999,3.8,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,217
Rabindra Shishu Udyan,26.4973061,89.5275788,4.1,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,395
Chipra Tower,26.5154864,89.7319717,4.2,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,75
Rasikbil Watch Tower,26.4199758,89.72627589999999,4.1,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,77
Netaji PARK,26.4967339,89.5272848,4.3,"park, point_of_interest, establishment",zoo,West Bengal,Winter,Alipurduar,9
