Name,Latitude,Longitude,Rating,Categories,Keyword,State
Jantar Mantar,28.6270547,77.21662669999999,4.2,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
India Gate,28.612912,77.2295097,4.6,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Purana Quila,28.6095744,77.24373709999999,4.2,"tourist_attraction, museum, point_of_interest, establishment",attractions,Delhi
The Garden of Five Senses,28.513403,77.1975227,4.1,"tourist_attraction, park, point_of_interest, establishment",attractions,Delhi
Humayun’s Tomb,28.5932848,77.2507492,4.5,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Shish Gumbad,28.5938185,77.2202047,4.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Leisure Valley Park,28.4697441,77.06617419999999,4.3,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Khas Mahal,28.6560934,77.2436017,4.5,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Bhuli Bhatiyari Ka Mahal,28.6418274,77.1982489,3.9,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Yamuna Ghat,28.6644866,77.23888269999999,4.1,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Yamuna River Viewing Point No.-1,28.6002768,77.260279,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Adventure Island,28.724723,77.11453279999999,4,"amusement_park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Leopard Hills,28.3428791,76.9936456,4.6,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Bagh-I-Alam Ka Gumbad,28.5561209,77.1984494,4.2,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Explore Our India,28.6371746,77.2756181,4.6,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Charti Lal Goel Heritage Park,28.6527018,77.23641549999999,3.8,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Munda Gumbad,28.5566951,77.1917165,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Alai Minar,28.525848,77.18529180000002,4.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Waste of seven wonders,28.5924368,77.2569781,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Fountain of Oneness by Sant Nirankari Mission,28.7260355,77.2001258,4.5,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Hauz Khas Fort Delhi,28.5531541,77.1935275,4.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Deer Park Lake,28.5566499,77.1911315,4.3,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Hangout Valley,28.5503372,77.30522069999999,4.6,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Hauz Khas District Park,28.5562492,77.19021219999999,4.4,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Firoz Shah's Tomb,28.5530999,77.193497,4.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
National Rail Museum,28.5849873,77.1814107,4.4,"tourist_attraction, museum, point_of_interest, establishment",attractions,Delhi
Damdama,28.3040294,77.1276424,3.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Hauz Khas Forest,28.5479803,77.2246267,4.4,"tourist_attraction, park, point_of_interest, establishment",attractions,Delhi
National Zoological Park,28.6062122,77.2452445,4.1,"zoo, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Bindra park,28.6423389,77.1254165,4.3,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
"Talāqi Darwaza, Purana Qila",28.611749,77.24163399999999,4.2,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
SNOW CITY,28.7259276,77.1137349,4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Taj mahal - WOW,28.5910562,77.256602,4.5,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Sunset Point - Akshardham,28.6178559,77.279152,4.7,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Hauz Khas Lake,28.5531653,77.19285289999999,4.4,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Darya Khan's Tomb,28.5722418,77.21669349999999,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Sheesh Mahal,28.4470158,76.8226722,4.1,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Rajon Ki Baoli,28.5202724,77.1834136,4.1,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Tughlakabad Fort Delhi,28.510917,77.26235369999999,4.2,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
National Crafts Museum & Hastkala Academy,28.6136111,77.24249999999999,4.6,"tourist_attraction, museum, point_of_interest, establishment",attractions,Delhi
Mumtaz Mahal,28.6545162,77.24343540000001,4.2,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Suraj Kund Park,28.97564479999999,77.7197497,4.2,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
NeverEnuf Garden Railway,28.2783533,76.9241902,4.2,"tourist_attraction, museum, point_of_interest, establishment",attractions,Delhi
India Africa Friendship Rose Garden,28.5881629,77.18500379999999,4.4,"tourist_attraction, park, point_of_interest, establishment",attractions,Delhi
"Satpula, Delhi",28.5316427,77.22352529999999,4.1,"tourist_attraction, furniture_store, home_goods_store, point_of_interest, store, establishment",attractions,Delhi
Millennium Park,28.5965198,77.2547522,4.3,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
Ram Yantra,28.6265715,77.2165301,4.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
DBF New Delhi Walk,28.6126736,77.2322226,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Tihar Lake,28.6311453,77.10363799999999,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Pyramid - WOW,28.5920767,77.2567384,4.3,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Aerocity Fountain,28.5532569,77.1226535,4.6,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Sunderwala Mahal,28.5960708,77.2465823,4.5,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
"Fun N Food Water & Amusment Park, New Delhi",28.5247884,77.08435829999999,4,"tourist_attraction, amusement_park, restaurant, food, point_of_interest, establishment",attractions,Delhi
Raja Nahar Singh Palace,28.3403805,77.3195449,4.2,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Sultanpur National Park,28.4612567,76.89036899999999,4.2,"tourist_attraction, park, point_of_interest, establishment",attractions,Delhi
Bade Khan Ka Gumbad,28.5731113,77.2201489,4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Triangle Point Saket,28.5165025,77.1946038,4.4,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Children's Park,28.6115018,77.23112309999999,4.3,"park, tourist_attraction, point_of_interest, establishment",attractions,Delhi
"Jahaz Mahal, Delhi",28.5143269,77.17859779999999,3.8,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
Scoping Zone,28.5465902,77.187347,5,"tourist_attraction, point_of_interest, establishment",attractions,Delhi
"Sangwan Beach, Tehari Dawlatpur, Delhi",28.7865184,77.2043278,4.2,"tourist_attraction, point_of_interest, establishment",beaches,Delhi
Goggz Riverside Beach,28.8979844,77.2331833,4.2,"tourist_attraction, point_of_interest, establishment",beaches,Delhi
School Ground,28.5090106,77.0389055,4,"natural_feature, establishment",beaches,Delhi
Hindon Chaath Ghat,28.6706978,77.400578,3.5,"natural_feature, establishment",beaches,Delhi
Signature Beach,28.7086614,77.23275679999999,5,"point_of_interest, establishment",beaches,Delhi
Yamuna Beach,28.7224387,77.2430002,3.5,"tourist_attraction, point_of_interest, establishment",beaches,Delhi
Yamuna Beach and Playground,28.53683,77.3244217,4.4,"point_of_interest, establishment",beaches,Delhi
Beach Games Federation of India,28.5203427,77.167003,5,"point_of_interest, establishment",beaches,Delhi
the Turtle Beach,28.5396781,77.2609897,4.5,"lodging, point_of_interest, establishment",beaches,Delhi
Sanjay Van Lake,28.5318209,77.1755326,4.4,"park, point_of_interest, establishment",beaches,Delhi
Mounty Explorers,28.69195539999999,77.20665600000001,5,"travel_agency, point_of_interest, establishment",beaches,Delhi
ancient muscle beach,28.4754675,77.0472018,0,"point_of_interest, health, establishment",beaches,Delhi
Mirror of India,28.6288077,77.2229509,4.1,"point_of_interest, establishment",beaches,Delhi
World Wings travel,28.5453318,77.5475137,4.9,"travel_agency, tourist_attraction, point_of_interest, establishment",beaches,Delhi
Foodie Beach Restaurant & Cafe,28.6309238,77.2776439,4.7,"restaurant, food, point_of_interest, establishment",beaches,Delhi
LADPUR BOTTING AREA ND SWIMMING BEACH,28.7366501,76.997492,1,"point_of_interest, establishment",beaches,Delhi
Bird Beach,28.3378217,77.6335659,4,"park, point_of_interest, establishment",beaches,Delhi
Beach & Woods,28.5918173,77.31886469999999,0,"travel_agency, point_of_interest, establishment",beaches,Delhi
Penguin Beach,28.6722238,77.0586828,0,"point_of_interest, establishment",beaches,Delhi
Ghamroj Natural Waterfall,28.3250625,77.0393125,4,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
"Badi Kholi, Ghamroj Waterfall",28.324759,77.0391775,4.2,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Park,28.6243361,77.1095814,4.2,"park, point_of_interest, establishment",waterfalls,Delhi
World street Fountain,28.3874736,77.3539424,4.4,"park, point_of_interest, establishment",waterfalls,Delhi
Jharna Temple,28.3782746,77.2128843,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",waterfalls,Delhi
Mound and waterfall,28.6744511,77.1994441,3,"park, point_of_interest, establishment",waterfalls,Delhi
Waterfall,28.3509552,77.06148329999999,5,"park, point_of_interest, establishment",waterfalls,Delhi
Angira Anand Spring Waterfalls (Village Kot),28.3383257,77.1622919,5,"place_of_worship, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Tikri Kalan-2",28.6802692,76.9663544,4.5,"park, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Dhool Siras",28.5545865,77.0323951,5,"park, point_of_interest, establishment",waterfalls,Delhi
The Leopard Trail,28.3766475,76.9964046,4.5,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Sanjay Van",28.5320843,77.17553099999999,5,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Karala",28.7370173,77.0488968,5,"park, point_of_interest, establishment",waterfalls,Delhi
Vikas Vihar Water Tank,28.9830286,77.7167477,3.7,"park, point_of_interest, establishment",waterfalls,Delhi
Valley of Faridabad,28.4393211,77.2819019,5,"park, point_of_interest, establishment",waterfalls,Delhi
Jharna (Waterfall) Mahal Complex,28.5133906,77.17914449999999,4.5,"museum, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Hastsal",28.6302823,77.0555682,4.5,"park, point_of_interest, establishment",waterfalls,Delhi
Leopard Hills,28.3428791,76.9936456,4.6,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Tiger's lake,28.3344263,77.03767409999999,4.7,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Kamboj Lake,28.3960196,77.2115214,0,"park, point_of_interest, establishment",waterfalls,Delhi
Leopard trail,28.3425361,76.9958138,4.4,"park, point_of_interest, establishment",waterfalls,Delhi
Aravalli Hill View Point,28.3818513,76.9986204,4.6,"park, point_of_interest, establishment",waterfalls,Delhi
Peela jhoda,28.3146847,77.0452352,5,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Rehna natural waterfall,28.1641469,76.98464779999999,5,"amusement_park, point_of_interest, establishment",waterfalls,Delhi
Common kingfisher point,28.6049178,77.3489877,3.5,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
RAJPUT marg Ghamroj,28.3281368,77.0671744,4.4,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Fountains,28.7247944,77.1202716,3.6,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Jharna mandir entry,28.3750507,77.2122778,4.4,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Fountains,28.6602873,77.497918,5,"park, point_of_interest, establishment",waterfalls,Delhi
Town Park Sector-31,28.4405605,77.31715319999999,4.3,"park, point_of_interest, establishment",waterfalls,Delhi
Waste to Wonder Theme Park,28.5926939,77.25697149999999,4.1,"amusement_park, park, point_of_interest, establishment",waterfalls,Delhi
Gayatri Fountain,28.6085758,77.3999403,4,"park, point_of_interest, establishment",waterfalls,Delhi
Lake,28.6685369,77.1194824,4.5,"natural_feature, establishment",waterfalls,Delhi
"Aravalli hills, sakatpur gurugram",28.3690303,76.99571159999999,4.2,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Valley of Gurugram,28.3913544,77.12966140000002,3.5,"park, point_of_interest, establishment",waterfalls,Delhi
Pandala Hills Drive,28.3689745,76.9957069,4.6,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Leopard Trail Lake,28.3581529,76.9976823,4.4,"park, point_of_interest, establishment",waterfalls,Delhi
Shri Shiv Kund,28.2465923,77.06427409999999,4.5,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",waterfalls,Delhi
Triund Trek,28.5078536,77.0710618,4.7,"tourist_attraction, campground, travel_agency, park, lodging, point_of_interest, establishment",waterfalls,Delhi
Aravalli Tikli,28.3392013,77.04051249999999,0,"park, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Neelwal",28.6682022,76.97988,5,"park, point_of_interest, establishment",waterfalls,Delhi
Kholi Mandir Bandh Lake,28.4410083,77.12051439999999,4.5,"park, point_of_interest, establishment",waterfalls,Delhi
Surajkund Circle,28.4895222,77.2866377,4.7,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Death Valley,28.4811401,77.2825742,4.1,"park, point_of_interest, establishment",waterfalls,Delhi
Leopard Point 1,28.3404637,77.0333383,5,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Mughal Period Jharna,28.5134242,77.17924339999999,4.2,"point_of_interest, establishment",waterfalls,Delhi
DDA Water Body and wood land,28.5676657,77.0525493,4.3,"park, point_of_interest, establishment",waterfalls,Delhi
ncr hikes,28.493412,77.0961757,3,"park, point_of_interest, establishment",waterfalls,Delhi
Aravalli Hills,28.3613,76.9936,4.6,"park, point_of_interest, establishment",waterfalls,Delhi
Water booster,28.4247421,77.3247385,3.7,"park, point_of_interest, establishment",waterfalls,Delhi
Jharna Mandir Pali Bani,28.3920908,77.2364274,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",waterfalls,Delhi
Shamsyan Ghat,28.5648633,76.7330526,0,"park, point_of_interest, establishment",waterfalls,Delhi
Baansera Park,28.593796,77.2616895,4.3,"park, point_of_interest, establishment",waterfalls,Delhi
Sohna View Point,28.2445677,77.0612172,3.8,"park, point_of_interest, establishment",waterfalls,Delhi
Ch. Devilal Park Sohna,28.2485682,77.0705388,3.7,"park, point_of_interest, establishment",waterfalls,Delhi
Aravali Hills in Gurgaon,28.3539423,76.996584,4.4,"real_estate_agency, tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Jurassic world,29.0086048,77.0800476,3.9,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
