SNo,longitude,title,latitude
0,-46.655953,Buildings at Nove de Julho Av. #saopaulo #sampa #sp #brazil #thisisbrazil #saopaulo_originals #sampalove #saopaulobrasil #splovers #brasilgram #cidadedagaroa #saopaulowalk #igerssaopaulo #nasruasdesp011 #people #euvejosp #hipstamatic #hipstaconnect #hipst,-23.56153
1,101.711427,#marini57 #4thanniversary  #khoonhooicouture  @khoonhooi #❤️ #kualalumpur,3.156662
2,-80.372484,2016-10-27_09-14-02,25.756727
3,-1.7608,Check up and blood test...,53.7841
4,151.268,Shell - Lifeguard Duty at Bronte Beach #fitness #fit #exercise #workingout #model #fashion #people #photography #photographer #swimwear #beach #summer #sun #thebeach #Sydney,-33.9036
5,-98.185054,"1027 Déjeme tranquilo Señora #Catrina, mi amada aguarda #Chulada #Tradiciones #DíaDeMuertos #DayOfTheDead",19.048025
6,6.054186,GH-75-59,51.355705
7,-120.662927,ONWARD AND UPWARD,35.310817
8,7.544441,dream in colours,51.340605
9,32.85587,upload,39.967279
10,32.85587,upload,39.967279
11,-46.18657,#VaiMogi #MogiBasquete🏆 #TOF💀 #PaulistaDeBasquete2016,-23.513459
12,151.234699,Sydney 2016 Oct 28 00:13,-33.917714
13,-84.32863,#Christmas this year is #Danish #inspired for our new hometown. #Berea #Kentucky has a lot of Danish influence and I'm doing a #fundraiser #catalog for the #BereaFestivalDancers group that @rockpaperfox belongs to. 50% of the profits from the catalog will,37.737647
14,10.057604,Fidenza - Cattedrale di San Donnino,44.866532
15,32.85587,upload,39.967279
16,12.5683,"New abstract painting. ""Amethyst Chrystal"". Size 80x80 cm.  Artist Rikke Darling. www.rikkedarling.com #nordic #nordicstyle #companyart #copenhagen #denmark #art #arte #artist #artwork #artistrikkedarling #rikkedarling #artgallery #galleri #gallery #maler",55.6761
17,-77.583224,#dfunlife #rochester #brooklyn #nyc #ny #switzerland #israel #positive #meditation Check it out. Some of my b&w street photography large aluminum prints. #photography #photographer #metalprints #display #large,43.155516
18,24.958672,#office for the next couple of days,60.161808
19,12.80625,Alps,47.056961
20,32.85587,upload,39.967279
21,12.536639,VOTE: your weapon of choice. Hoping that Americans will remember that... . . #ligaturecollective #tyxca #lettering #letteringco #handlettering #handtype #handmadefont #vote #usa #vote2016 #election2016 #weapon #choice #thedailytype #thedesigntip #typograp,41.884372
22,103.85379,"@AntiDoteBar @FairmontSingapore welcomes new Head Craftsman Gina Kent and Head Chef Tryson Quek for a return-worthy combo of delicious cocktails and equally good grub.  Highlights include the Rappaccini's Daughter cocktail and the succulent, char-grilled",1.29428
23,77.992521,Me @selvynk Among the Dancers 💃 and singers 🎶 here at Diwali PROGRAM 2016,27.217902
24,-73.972216,central park walking tour begun,40.772742
25,32.85587,upload,39.967279
26,-38.389131,DSC03782,-3.902648
27,120.643692,2016-10-27_09-11-27,24.147179
28,-78.328611,WxTweeter© Image,35.625556
29,-71.0052,"Side street, Revere, MA #bostonartist #artsy #artistic #artist #art #hammontree #revere #reverema #reverebeach #oldhouses #streetlight #massachusetts #newengland #architecture #architecturelovers #streetscene",42.4162
30,32.85587,upload,39.967279
31,2.33506,Wedding  #wedding #sillouette #paris #louvre #pyramid #bride,48.861412
32,120.643692,2016-10-27_09-10-35,24.147179
33,38.972222,2016-10-27_04-10-45,45.055833
34,120.643692,2016-10-27_09-10-16,24.147179
35,19.029097,,50.322461
36,136.899694,N-2016-10-27-2210_f,35.165083
37,19.004991,,50.309769
38,2.287777,Bir Hakeim #birhakeim #paris #eiffeltower #window #frame #metro #seine #photogratphie #photoratphie,48.855555
39,-68.415567,,18.679163
40,-68.415734,,18.679208
41,120.643692,2016-10-27_09-10-02,24.147179
42,7.21667,Noch mehr Herbst,51.4833
43,21.394786,With #HuaweiP9,47.447886
44,2.098352,Carn d'olla typical from Catalonia food. Go to htt://www.inouthostel.com 😉,41.422256
45,-68.418428,,18.678061
46,38.9725,GAZ-21 Volga,45.055833
47,38.9725,GAZ-21 Volga,45.055833
48,-73.97375,Barclays Center Arena - 20161027_0905,40.683166
49,-68.418389,,18.678055
50,2.294589,Eiffel Tower  #eiffeltower #reflection #crystalball #glass #paris,48.858212
51,-2.462676,Construction workers. Royalists to a man.,50.712046
